기준일,기준월,파츠번호,파츠명,단가,재고수량,재고금액,판매상태,품절사유/재입고,비의도적품절여부,기준주차
2026-02-06,26-2,PT4710,PT4710-브릭스탠드멀티충전스테이션_화이트,24000,218,5232000,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT4883,PT4883-시그니처다이어리(2합)_라이트그레이,6420,3945,25326900,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT0878,PT0878-매트블랙텀블러_블랙,7110,153,1087830,일시품절,4월 내 재입고,TRUE,2026-W06
2026-02-06,26-2,PT2268,PT2268-레더라벨캠핑체어(세트_본품및파우치)_베이지,15915,1234,19639110,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2741,PT2741-슈가케인텀블러(360ml)_크림,6327,3067,19404909,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2826,PT2826-아쿠아스노클링마스크(세트_본품및파우치),15455,1191,18406905,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT3343,PT3343-펄프박스_리드_그레이,3605,4708,16972340,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT3325,PT3325-리마커블UV칫솔살균기(C타입),8364,2308,19304112,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT4696,PT4696-킵세이프마그넷배터리2.0,9000,0,0,일시품절,2월 내 재입고,TRUE,2026-W06
2026-02-06,26-2,PT4886,PT4886-챔피언피규어시상대세트(시상대),3500,3821,13373500,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2243,PT2243-레더라벨캠핑체어(세트_본품및파우치)_블랙,15000,683,10245000,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2832,PT2832-올웨이즈양우산(세트_본품및케이스)_블랙,8120,1706,13852720,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT4722,PT4722-오아시스미니마사지건_블랙,21980,502,11033960,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT1239,PT1239-슬로건다이어리_블랙,4323,3020,13055460,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2242,PT2242-포터블캠핑롤테이블(세트_본품및파우치)_블랙,9406,900,8465400,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT1707,PT1707-페이머스캡슐보틀(에코젠)_아이보리,4200,1675,7035000,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT4721,PT4721-오아시스미니마사지건_화이트,21980,382,8396360,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2969,PT2969-메시지캐리어파우치_실버,5400,1476,7970400,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT3331,PT3331-테크미니파우치,2138,3467,7412446,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT4766,PT4766-브랜디드타월_화이트,3100,2503,7759300,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT1779,PT1779-골프공(타이틀리스트프로V1),5167,1245,6432915,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT0572,PT0572-머그류지지박스(전용)_블랙_000-3,689,9551,6580639,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT1236,PT1236-슬로건다이어리_그레이,4409,0,0,일시품절,2월 내 재입고,TRUE,2026-W06
2026-02-06,26-2,PT3205,PT3205-바이브캠핑쿨러,11500,533,6129500,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT0733,PT0733-노트북스탠드패드_패드_다크그레이,9500,690,6555000,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT3339,PT3339-핸디링미니선풍기_화이트,5000,1180,5900000,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT0712,PT0712-내추럴노트_커버_그레이,1680,3371,5663280,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2817,PT2817-어텐션스포츠보틀,7000,826,5782000,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT3321,PT3321-밸류보드다이어리(에스카보드),4190,1202,5036380,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT4762,PT4762-골지G형박스(L)_그레이,1580,3383,5345140,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT0475,PT0475-페이퍼G형박스(T)_그레이_100-2,2297,2081,4780057,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2839,PT2839-프라우드메모패드_커버_블랙,4550,968,4404400,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT4767,PT4767-브랜디드타월_그레이,3201.4,1436,4597210.4,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT2077,PT2077-클리어리유저블컵_바디(473ml)_투명,2000,2204,4408000,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT3392,PT3392-페이퍼G형박스(Tower)_블랙,2575,1602,4125150,판매가능,-,FALSE,2026-W06
2026-02-06,26-2,PT0543,PT0543-골지트레이박스_블랙_200-1,2926,1501,4391926,판매가능,-,FALSE,2026-W06
