period_unit,period_key,base_date,inv_amount,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,stockout_count,managed_count,stockout_rate,band_status,updated_at
weekly,2026-01-02,2026-01-02,550695343,168461543,716988153,168461543,0.4021234814,1.711475314,0.4021234814,14,133,0.1052631579,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-01-09,2026-01-09,548263665,168461543,716988153,168461543,0.4002856511,1.703653335,0.4002856511,11,133,0.08270676692,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-01-16,2026-01-16,511984073,168461543,716988153,168461543,0.4102080958,1.745884192,0.4102080958,11,133,0.08270676692,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-01-23,2026-01-23,498879456,168461543,716988153,168461543,0.4194371383,1.785163864,0.4194371383,12,133,0.09022556391,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-01-30,2026-01-30,504430450,168461543,716988153,168461543,0.4250273384,1.808956281,0.4250273384,13,133,0.0977443609,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-02-06,2026-02-06,526056910.4,100289092,540755975.5,267080424.3,0.2542528281,1.380291146,0.6817284722,9,130,0.06923076923,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-02-13,2026-02-13,566410369.2,100289092,540755975.5,267080424.3,0.2429523151,1.360755587,0.6720798217,9,130,0.06923076923,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-02-20,2026-02-20,573605910.8,100289092,540755975.5,267080424.3,0.2378105914,1.342940179,0.6632807571,6,130,0.04615384615,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-02-27,2026-02-27,592044933.6,100289092,540755975.5,267080424.3,0.2323016836,1.32140677,0.6526453645,8,130,0.06153846154,운영밴드 정상,2026. 7. 23. 오후 5:37:01
weekly,2026-03-06,2026-03-06,543654928.1,178378146,460712250.3,460712250.3,0.3964478103,1.081968208,1.081968208,9,130,0.06923076923,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-03-13,2026-03-13,542112637.6,178378146,460712250.3,460712250.3,0.4107966249,1.083657249,1.083657249,9,130,0.06923076923,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-03-20,2026-03-20,515872817.3,178378146,460712250.3,460712250.3,0.4228344479,1.089030026,1.089030026,10,130,0.07692307692,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-03-27,2026-03-27,550954046.9,178378146,460712250.3,460712250.3,0.4191340011,1.086041935,1.086041935,9,130,0.06923076923,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-04-03,2026-04-03,582681108.8,125712686.3,410308114.3,593447627.7,0.2711741706,0.9263316323,1.386827521,8,121,0.06611570248,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-04-10,2026-04-10,544447302.8,125712686.3,410308114.3,593447627.7,0.2816102907,0.9299231451,1.388196399,8,121,0.06611570248,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-04-17,2026-04-17,579212995,125712686.3,410308114.3,593447627.7,0.277814732,0.9134003844,1.359021356,9,121,0.07438016529,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-04-24,2026-04-24,614469151.5,125712686.3,410308114.3,593447627.7,0.2710459751,0.8953966803,1.329964641,9,121,0.07438016529,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-04-30,2026-04-30,615429931.2,125712686.3,410308114.3,593447627.7,0.2671596928,0.8845405625,1.312116199,9,121,0.07438016529,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-05-08,2026-05-08,680714178,143102765,450987992,735189583,0.2609986914,0.8648479462,1.451604139,7,127,0.05511811024,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-05-15,2026-05-15,798884598,143102765,446227992,723982583,0.2356838245,0.8376457045,1.419171059,3,125,0.024,운영밴드 초과,2026. 7. 23. 오후 5:37:02
weekly,2026-05-22,2026-05-22,807490212,143102683.3,446227653.7,723982148,0.2268869418,0.8204600822,1.398878616,3,125,0.024,운영밴드 초과,2026. 7. 23. 오후 5:37:02
weekly,2026-05-29,2026-05-29,785548654,143102683.3,446227653.7,723982148,0.2244693428,0.808176949,1.382761459,3,125,0.024,운영밴드 초과,2026. 7. 23. 오후 5:37:02
weekly,2026-06-05,2026-06-05,756572875.3,149787799.3,424007343,871961497.3,0.2363855579,0.7331312429,1.65904028,3,125,0.024,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-06-12,2026-06-12,751101522.8,152207799.3,426427343,874381497.3,0.2395578581,0.7185944202,1.61610448,3,126,0.02380952381,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-06-19,2026-06-19,731141863.5,152207799.3,426427343,874381497.3,0.2436242987,0.7184844749,1.61152731,3,126,0.02380952381,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-06-26,2026-06-26,712396163.8,152207799.3,426427343,874381497.3,0.2470266029,0.7191288471,1.608153161,2,126,0.01587301587,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-07-03,2026-07-03,703907861,82084212,378163821,946292103,0.1439301555,0.6071646128,1.747633439,1,115,0.008695652174,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-07-10,2026-07-10,698055662,82084212,378163821,946292103,0.1456786158,0.6126315791,1.744758987,0,115,0,운영밴드 정상,2026. 7. 23. 오후 5:37:02
weekly,2026-07-16,2026-07-16,702808259,82084212,378163821,946292103,0.1459515231,0.6181255223,1.744782779,0,115,0,운영밴드 정상,2026. 7. 23. 오후 5:37:03
weekly,2026-07-23,2026-07-23,699219626,82084212,378163821,946292103,0.1438294109,0.6113220326,1.706891832,1,119,0.008403361345,운영밴드 정상,2026. 7. 23. 오후 5:37:03
monthly,26-1,2026-01-30,522850597.4,168461543,716988153,168461543,0.4250273384,1.808956281,0.4250273384,13,133,0.0977443609,운영밴드 정상,2026. 7. 23. 오후 5:37:03
monthly,26-2,2026-02-27,564529531,100289092,540755975.5,267080424.3,0.2323016836,1.32140677,0.6526453645,8,130,0.06153846154,운영밴드 정상,2026. 7. 23. 오후 5:37:03
monthly,26-3,2026-03-27,538148607.5,178378146,460712250.3,460712250.3,0.4191340011,1.086041935,1.086041935,9,130,0.06923076923,운영밴드 정상,2026. 7. 23. 오후 5:37:03
monthly,26-4,2026-04-30,587248097.9,125712686.3,410308114.3,593447627.7,0.2671596928,0.8845405625,1.312116199,9,121,0.07438016529,운영밴드 정상,2026. 7. 23. 오후 5:37:03
monthly,26-5,2026-05-29,767060698.9,143102683.3,450987653.7,735189148,0.2240814059,0.8141415916,1.390912658,5,127,0.03937007874,운영밴드 정상,2026. 7. 23. 오후 5:37:03
monthly,26-6,2026-06-26,740412673,152207799.3,426427343,874381497.3,0.2470266029,0.7191288471,1.608153161,2,126,0.01587301587,운영밴드 정상,2026. 7. 23. 오후 5:37:03
monthly,26-7,2026-07-23,710884829.3,82084212,378163821,946292103,0.1438294109,0.6113220326,1.705866739,2,120,0.01666666667,운영밴드 정상,2026. 7. 23. 오후 5:37:03
quarterly,26-Q1,2026-03-27,557671142.8,0,460712250.3,460712250.3,0,1.065586471,1.066252625,9,134,0.0671641791,운영밴드 정상,2026. 7. 23. 오후 5:37:04
quarterly,26-Q2,2026-06-26,722256947.8,0,430082013,911861017.3,0,0.720535867,1.628193027,4,130,0.03076923077,운영밴드 정상,2026. 7. 23. 오후 5:37:04
quarterly,26-Q3,2026-07-23,710884829.3,0,82084212,946292103,0,0.1438294109,1.705866739,2,120,0.01666666667,운영밴드 정상,2026. 7. 23. 오후 5:37:04
