Goods Name,Goods Code,굿즈 Status,출시일,졸업일,출시예정일
어웨이 블루투스 스피커,AWAY,졸업,2022-05-31,2023-05-18,2022-05-31
모먼트 골드스파클,MGOL,판매중,2026-03-05,,
펠트백,FTBG,판매중,2022-04-07,,
스탠드업 USB 허브,DP37,졸업,,,
프로페셔널 와인오프너,PWOP,졸업,2021-01-13,2025-04-30,
아임히어 리플렉터 키링,IMHE,판매중,2025-08-26,,
아쿠아 마스크,ISKM,졸업,2023-05-26,2025-12-31,2023-05-26
데일리 머그,DMUG,졸업,2019-08-01,2025-07-25,
고객입고물품,CSPR,판매중,,,
브랜드 스트랩 단우산,BRSU,판매중,2019-09-27,,
라이트 캘린더,LTCL,판매중,2024-06-28,,
웨어러블 넥밴드 선풍기,WARB,졸업,2022-06-17,2022-06-27,2022-06-16
리프레쉬 고체치약,TUTH,졸업,2022-04-29,2025-12-31,2022-04-29
심플 바인더 노트,DP16,졸업,,,
Motion 스탠다드 박스,MBST,판매중,2024-09-13,,2024-09-13
Don't Eat 손소독제,DONE,졸업,2020-03-18,2021-05-24,
클리어 리유저블컵,CLRU,판매중,2022-02-10,,2022-02-08
아이콘 펜,IIKP,판매중,2022-09-20,,2022-09-20
파워업 PD 충전기 65W,PUPD,판매중,2025-06-20,,2025-06-20
비주얼핏 키캡키링,KYCP,판매중,2026-06-11,,
웹캠 커버,WCCV,졸업,2019-08-23,2026-06-25,
패션 마스크 스트랩,FSMS,졸업,2021-01-06,2023-07-27,
프리미엄 스트링 후드집업,ODHZ,판매중,2020-11-18,,
데스크 4in1 무선충전기,DP28,졸업,,,
데코 스티커,DECO,판매중,2022-05-24,,2022-07-07
에센셜 장우산,GENH,판매중,2024-09-03,,2024-08-29
스탠리 데일리 텀블러,STLD,판매중,2024-10-31,,
바이브 캠핑쿨러,VBCC,판매중,2023-06-09,,2023-05-30
올데이 핸즈프리 선풍기,AHFF,졸업,2021-05-31,2023-07-14,
젠틀와인오프너,DP20,졸업,,,
심볼 아크릴 트로피,ACTP,판매중,2025-06-30,,
애드온 뱃지,AOBG,판매중,2020-10-19,,
플라워 피규어 방향제 ,FLWO,판매중,2026-06-15,,
하우스 핸드타월,HHTW,판매중,2026-04-20,,
스탠리 슬림 보틀,STLS,판매중,2024-11-01,,
프라우드 메모패드,PMPB,판매중,2023-08-28,,
마이타입 4-Way 백팩,BAGG,판매 준비,2026-07-16,,
크렘드마롱,MRON,졸업,2021-07-02,2023-07-14,
모뉴먼트 블랙 트로피,MNBT,판매중,2025-11-26,,
레더 스트랩 우산,LSUM,졸업,2019-08-01,2019-10-11,
스페이스 차량용 청소기,SPAC,졸업,2022-10-20,2024-10-25,2022-10-20
굿바이 바이러스 마스크 키트,MSKT,졸업,2019-04-11,2022-01-12,
포켓 마켓백,PKMK,판매중,2023-03-31,,2023-03-31
뮤지엄 머그,MMUG,판매중,2019-08-01,,
컬러풀 노트패드(블랙),CNPB,판매중,2019-04-01,,
Display 스트랩 박스,TWKT,판매중,2026-06-19,,
컬러핏 마스크스트랩,CFMS,졸업,2020-09-22,2023-07-27,
아이콘 케이블홀더 세트,MGNC,판매중,2025-05-21,,2025-05-16
투마일 오피스 슬리퍼,TMLO,졸업,2022-03-21,2025-12-31,2022-03-15
포시즌 블랭킷,FSBL,판매중,2020-12-08,,
