movement_id,이슈카테고리,입하예정일,실제입하일,프로젝트_발주자,출하장소,project_name,item (통합) (from order),이동수량_예정,입하수량,검수수량,불량수량_샘플링검수,재제작/추가제작,운영이슈내용(by물류),운영이슈개선여부,운영이슈개선방안_SCM,수량이슈내용,수량이슈대응방안_SCM,품질이슈내용구분,품질이슈대응필요여부,품질이슈내용,품질등급최초판정,품질등급의견_SCM,품질등급의견판단사유_SCM,품질이슈대응방안_SCM,이슈발생_Report,대표품목 계정구분 (from task)
MM00182897,수량이슈,2025.12.29,2025.12.29,김민지,"하나 세라믹,홍보요업",PNA37502-유비온,"뮤지엄머그, 뮤지엄머그, 전사, 전사",302,302,,,,,,,"발주수량: 303
입하수량: 302
*납품수량 302로 수정되어 302개 입하되었습니다. 참고 차 공유드립니다.",302개 입고 부탁드립니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recHLO1pPcYpQoSno,"8.수익,8.수익"
MM00185039,수량이슈,2025.12.24,2025.12.22,육승미,서울디지털인쇄협동조합,PNA37837-코드잇,배경지(펜류),145,145,,,,,,,"발주수량 및 정수량: 150
입하수량: 145
*정수량 대비 5장 부족합니다.",추가분 일정 내 입고시키겠습니다. ,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recWkT8n610KHPdjg,8.수익
MM00186360,수량이슈,2025.12.24,2025.12.23,남인호,신시어리웨일즈 주식회사,PNA37362-삼성전자,"아트워크레더다이어리, 아트워크레더다이어리_커버, UV",15,19,,,재제작,,,,"고객인지이슈는 그린 15개, 블루 5개입니다.
본 건 정상 입하 수량 5개로 10개 부족합니다.","아,, 네네 다시 제작하겠습니다..",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec1IwCeJIKByEsch,8.수익
MM00180428,수량이슈,2025.12.23,2025.12.23,육승미,디지탈준,PNA36865-무빙스톤즈,올데이텀블러,764,764,,,,,,,본 건 765개 입하 예정이나 실 입하 수량 764개 입니다.,764개 정상 입고 부탁드립니다. 입고 수량 수정해두었습니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recCIR8ti4AjmDCJG,8.수익
MM00182067,수량이슈,2025.12.23,2025.12.18,육승미,서울디지털인쇄협동조합,PNA37157-쿠팡페이,웰컴페이퍼(볼마커),240,240,,,,,,,"발주수량 100
입하수량 240
* 동일 프로젝트 MM00182064는 미입하, 본 MM으로만 240장 입하 되었습니다.",금일 쿠팡페이 시안으로100개 제작 한 MM입하될 예정입니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec3FjMYcJwC4JRLD,5.상품
MM00188570,수량이슈,2025.12.23,2025.12.23,,,,올데이텀블러,924,,,,,,,,본 건 765개 입하 예정이나 실 입하 수량 764개 입니다.,764개 정상 입고 부탁드립니다. 입고 수량 수정해두었습니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recHfd6yYIshfuanS,
MM00180274,수량이슈,2025.12.19,2025.12.11,김민지,(주)승화파트너스,PNA37088-한국토지주택공사,"데일리짐색, 데일리짐색, 케어라벨(전용), 패브릭디지털, 데일리짐색_바이어스/스트링",150,150,,,,,,,"발주수량 151
입하수량 150
여유수량 없이 정수량만 입고 하겠습니다",1개 추가로 입고 예정입니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recNCPHgugmbyhYiq,5.상품
MM00183742,수량이슈,2025.12.19,2025.12.19,육승미,서울디지털인쇄협동조합,PNA38049-라이드,웰컴페이퍼,221,221,,,,,,,"발주수량 및 정수량: 200
입하수량: 100
*정수량 대비 100장 부족합니다. ",100장 금일 추가로 입하 예정입니다. 기존 발주서와 함께 납품 예정이오니 기존 mm에 입하 수량 조정으로 처리 부탁드립니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recYH9DTnAAZcyupB,5.상품
MM00171125,수량이슈,2025.12.12,2025.11.28,김민지,주식회사 디자인오엔,PNA31193-25년11월_재고생산,씬페이퍼봉투,21640,21640,,,,,,,"22,000개 입고예정이나 21,640개만 입고되었습니다.","롤지생산이라 정수량 차이가 생길 수 있습니다 21,640개만 입고 부탁드립니다.",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rechlQHIxn9zKqQAd,8.수익
MM00180860,수량이슈,2025.12.12,2025.12.15,정승윤,신시어리웨일즈 주식회사,PNA37879-레몬트리기프트,"마그넷케이블홀더, 마그넷케이블홀더, UV",137,137,,,,,,,"시안 3,4의 수량 이슈 공유드립니다.

시안3 148개(정수량 +12)
시안4 126개(정수량 -10)

*시안1,2는 136개로 정수량 입하 되었습니다.","해당 건 유사 시안이라 3, 4번이 섞이는 이슈가 발생하였습니다.
각 시안별로 137개씩 입하 확인하였으며 이슈 없음으로 종결하겠습니다.",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recKZ5dW11bS6Dbas,8.수익
MM00178374,수량이슈,2025.12.11,2025.12.10,김민정,성우무역,PNA31193-25년11월_재고생산,"아이콘펜(바디), 아이콘펜(클립)",2350,2350,,,,,,,"발주 수량: 2,650개
입하 수량: 2,350개
* 본 건의 총 발주 수량 3,000개이나 기존 입고 수량 362개(MM00178370)와 합산해도 총 수량 2,712개 이므로 288개 부족합니다.",클립 수량 부족 이슈 / 다음번 발주에 여유수량으로 추가 제공 예정,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reco8OCikNJxHxWY3,5.상품
MM00172648,수량이슈,2025.12.5,2025.12.4,김민지,톰스코리아 주식회사,PNA36842-롯데바이오로직스,"웜업스트링후드집업(3L초과사이즈), 웜업스트링후드집업, 나염, 웜업스트링후드집업, 나염, 샘플(나염.자수), 리드타임조정",503,503,,,,,,,현재 M사이즈와 L사이즈가 1장씩 부족합니다. ,"오전 12시 전까지 다영기획으로 2장 입고 예정
M 사이즈 - 1개
L 사이즈 - 1개",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recGF8Ibc75zBKTCa,5.상품
MM00177080,수량이슈,2025.12.5,2025.12.5,김민지,신명인쇄,PNA36635-여기어때,"샘플(본제작과동일옵션), 샘플(본제작과동일옵션)",4,4,,,,,,,시안 상 존재하는 2구 케이스 없이 와인잔 2개만 입하되었습니다.,"케이스 비스포크 건으로 제작이 누락되어 금일 오후중으로 퀵입고 예정입니다.
케이스 입하되면 와인잔과 함께 입고 처리 부탁드립니다! ",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recRjGCochP4OPRW3,
MM00175013,수량이슈,2025.12.3,2025.12.4,김민정,성우무역,PNA31192-25년10월_재고생산,테크미니파우치,4409,4409,,,,,,,"입고예정수량 4,600개
실입고 수량 4,409개","테크미니파우치 총 5000개 발주했고,
1차와 오늘 입고된 수량을 합하면 5000개가 넘어서 이슈 종결하겠습니다 :미소짓는_얼굴:",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recK6FViW9rhYLN8x,5.상품
MM00177794,수량이슈,2025.12.3,2025.12.3,김민지,주식회사 디자인오엔,PNA37601-여의도연구원,"레더스킨다이어리, 레더스킨다이어리, 공박(음각), 공박(음각)",112,112,,,,,,,"발주수량: 112개
입하수량: 102개
정수량: 111개
*임가공 중 발견 되었으며 정수량 대비 9개 부족합니다.",10개 추가입고 예정입니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recFKn0KdITGc7tmt,"8.수익,8.수익"
MM00174739,수량이슈,2025.12.2,2025.12.3,남인호,신시어리웨일즈 주식회사,PNA36776-텐씨씨,"마그넷케이블홀더, 마그넷케이블홀더, UV",302,356,,,,,,,"발주수량: 302개
정수량: 300개
입하 정상수량: 299개
*정수량 대비 1개씩 부족합니다.",내부에서 추가분 확보하여 전달 완료!,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recI9zfTNnA3dJkcI,8.수익
MM00176115,수량이슈,2025.12.1,2025.12.1,남인호,신시어리웨일즈 주식회사,PNA37570-서울시청,UV,503,726,,,,,,,"발주수량: 503개
정수량: 500개
입하수량: 483개
정수량 대비 17개 부족합니다.","생산에서 수량 체클 잘못하였습니다.
전달드리겠습니다.",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recAY7OfqGOXO5DF8,8.수익
MM00175613,수량이슈,2025.11.28,2025.11.26,문경선,우리포장,PNA31193-25년11월_재고생산,배송용외박스(L-510),699,699,,,,,,,700개 입고중 1개 불량으로 699개 입고 처리,,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recsEjFUwsXHlhffw,8.수익
MM00176606,수량이슈,2025.11.28,2025.11.25,문경선,이고다포장,PNA31193-25년11월_재고생산,에어캡봉투(중),1650,1650,,,,,,,발주수량 1650장이나 입하수량 880장 입니다.,,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recRP1hY0HBox1vFM,8.수익
MM00167891,수량이슈,2025.11.21,2025.11.17,김민지,유엘상사,PNA36237-GS건설,"슬로건다이어리(불박인쇄), 공박(음각)",29,29,,,추가제작,,,,"발주수량 30개이나 입하수량 29개입니다.
확인 부탁드립니다.",협력사에서 1개 덜 제작하신것으로 판단되어 발주수량 -1 해두겠습니다,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recl75aEOoHJVQ5wZ,8.수익
MM00169887,수량이슈,2025.11.21,2025.11.20,남인호,신시어리웨일즈 주식회사,PNA36918-코드박스,"라이트샤오미펜, 라이트샤오미펜, UV",1006,1006,,,,,,,"과업지시서 내 발주수량이 1,006으로 표기되어 있는것을 수기로 1,008로 수정 되어있는데요.
실입고수량 1,006개로 수기로 적어주신 발주수량보다 적어 이슈설정합니다.
다만,자재파트에서 투입한 수량은 1,006개입니다.🥲","위에서 저울로 수량체크를 하다가 미스가 있었건 것 같습니다.
정상 입고 처리 부탁드리며, 향후 한번 더 수량 체크하여 출고하겠습니다.",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reckKFJoueYU1jOyO,8.수익
MM00170606,수량이슈,2025.11.19,2025.11.18,남인호,신시어리웨일즈 주식회사,PNA36565-amPR,"베이직도킹형보조배터리(UV), UV",1005,1005,,,,,,,"발주수량 1005개이나 입하수량 990개입니다.
발주수량 1005개 대비 15개, 정수량 1000개 대비 10개 부족합니다.",추가 전달,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recOmsXSyRKtCYp38,8.수익
MM00173446,수량이슈,2025.11.18,2025.11.18,김민지,신명인쇄,PNA37274-한국캘러웨이골프,"트리플컬러펜, 트리플컬러펜, 실크",197,197,,,,,,,"발주수량 201개이나 입하수량 197개입니다.
발주수량 201개 대비 4개, 정수량 200개 대비 3개 부족합니다.",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recpv1ZEIL7EtkPmI,8.수익
MM00172929,수량이슈,2025.11.14,2025.11.13,김민지,(주)아이아트텍스,PNA36778-국민건강보험공단,,1,1,,,,,,,"발주수량 2개이나 입하수량 1개입니다.
본품 대조 확인용 1개 요청드립니다.",본품 대조용은 본제작 입고시 함께 입고 될 예정입니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recLUHtHd1YpggGbf,5.상품
MM00169465,수량이슈,2025.11.12,2025.11.10,육승미,(주)이삭반도체,PNA36932-SM엔터테인먼트JAPAN(CONCONTOWN),"메시지캐리어파우치, 메시지캐리어파우치, UV, 샘플(UV인쇄)",81,81,,,,,,,"발주수량 81개이나 입하수량 51개입니다.
확인 부탁드립니다.",택배사 물류량 이슈로 순차적 배송중(이슈아님),,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reckbyF21d9zO8HTa,8.수익
MM00165326,수량이슈,2025.11.11,2025.11.10,남인호,신시어리웨일즈 주식회사,PNA36285-해커스교육그룹,UV,324,324,,,,,,,"발주수량 및 정수량 325개이나 입하수량 324개입니다.
확인 부탁드립니다.",추가 납품 하겠습니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec2ItZzIdWhFAZu7,8.수익
MM00171251,수량이슈,2025.11.11,2025.11.12,김민지,주식회사 세라노,PNA37228-앤트웨이브(주택도시보증공사),,1,1,,,,,,,발주수량 2개이나 입하수량 1개입니다.,1개 추가 입고 예정입니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recV6nPdNVhkDuMKW,5.상품
MM00171253,수량이슈,2025.11.11,2025.11.12,김민지,주식회사 세라노,PNA37228-앤트웨이브(주택도시보증공사),,1,1,,,,,,,발주수량 2개이나 입하수량 1개입니다.,1개 추가입고 예정입니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recLXMgO1PDLTEYS3,5.상품
MM00170117,수량이슈,2025.11.4,2025.11.4,육승미,서울디지털인쇄협동조합,PNA37027-FAO한국협회,배경지,120,120,,,,,,,발주수량 및 정수량 200개이나 입하수량 120개입니다.,"MM 분리해두었습니다. MM00170665 
11/7 부족분 입고 예정입니다 ",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recbQyOunPb5s1khL,8.수익
