task_id,과업지시일자,과업담당자_이름,수주처,project,발주번호,movement_산출이동,sync_itemdb,산출물,비스포크여부,긴급여부,미입하 발생이력_movement,재제작/추가제작,발주지시수량,고객주문수량,이슈체크(Order 이슈 관리용) (from order),공급가액,배송비,취득원가,파츠유형,협력사 결제조건 (from 수주처),R) 판매가(최종),세금계산서작성월 (from 지출결의),입하예정일 (from movement_산출물),입하확정일 (from movement_산출물),실제입하일 (from movement),지출결의,결제일(from 지출결의),분할지출여부,합계_분할,발주수량_분할,지출결의_분할갯수,지출결의 금액 합계 (from 지출결의),지출현황,총 지출 단가 (VAT 포함),총 지출액 (VAT 제외),조정금액(부가세포함),입하여부
PNA52321_퀵차지 도킹형 보조배터리_A2,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52321-소만사,PO074711,MM00220275,"QUIC_PT4289-퀵차지도킹형보조배터리(UV)_추상적산출물,QUIC_PT4285-UV_풀컬러_전면_와이이케이글래스주식회사[퀵차지도킹형보조배터리]",UV(퀵차지보조배터리),,-,0 checked out of 1,,101,100,0 checked out of 2,0,0,0,"Phantom Parts, Printing Parts",정기(월),\100000,,2026.7.31,,,,,,,,0,₩0,,0,0,,
PNA52321_라이트 샤오미펜_A1,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52321-소만사,PO074715,MM00220273,"LXMP_PT4400-라이트샤오미펜_화이트,LXMP_PT4590-UV_신시어리웨일즈[라이트샤오미펜],LXMP_PT4612-라이트샤오미펜_추상적산출물",라이트샤오미펜,,-,0 checked out of 1,,101,100,0 checked out of 3,0,0,0,"Product Parts, Printing Parts, Phantom Parts",정기(월),\180000,,2026.7.31,,,,,,,,0,₩0,,0,0,,
PNA52872_비주얼핏 키캡키링_추가제작_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52872-생각하는늑대,PO074721,MM00220287,KYCP_PT5447-배경지(커스텀인쇄)_화이트+디지털풀컬러,배경지,,-,0 checked out of 1,,100,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\70000,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52872_비주얼핏 키캡키링_추가제작_A1,2026.7.16,이난영,주식회사 위즈프로(구.호언),PNA52872-생각하는늑대,PO074720,MM00220288,"KYCP_PT5441-키캡키링(3구LED)_투명,KYCP_PT5449-키캡키링_추상적산출물",키캡키링,,-,0 checked out of 1,,100,100,0 checked out of 2,0,0,0,"Product Parts, Phantom Parts",정기(월),\870000,,2026.7.24,2026.7.24,,,,,,,0,₩0,,0,0,,
PNA52321_Quality 슬리브박스_A1,2026.7.16,이난영,(주)청산인쇄,PNA52321-소만사,PO074716,MM00220272,"SLVB_PT2547-슬리브_추상적산출물,SLVB_PT2352-슬리브(커스텀인쇄)(지네발)_화이트+옵셋풀컬러",슬리브(Quality 슬리브 박스),,-,0 checked out of 1,,110,100,0 checked out of 2,0,0,0,"Phantom Parts, Package Parts",정기(월),\600000,,2026.7.30,,,,,,,,0,₩0,,0,0,,
PNA52321_브랜드-잇_A1,2026.7.16,이난영,(주)청산인쇄,PNA52321-소만사,PO074708,MM00220267,"BRDT_PT2527-브랜드잇_커버_추상적산출물,BRDT_PT1860-공박(양각)_50x50_청산인쇄[브랜드잇_커버],BRDT_PT1029-브랜드잇_커버(그문드비)_컬러",커버(브랜드-잇_인쇄포함),,-,0 checked out of 1,,100,100,0 checked out of 3,0,0,0,"Phantom Parts, Printing Parts, Product Parts",정기(월),\470000,,2026.7.30,,,,,,,,0,₩0,,0,0,,
PNA52927_브릭스탠드 멀티충전기_A1,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52927-한국수력원자력새울원자력본부,PO074686,MM00220193,"BSMC_PT4953-브릭스탠드멀티충전스테이션_추상적산출물,BSMC_PT4950-UV_신시어리웨일즈,BSMC_PT4711-브릭스탠드멀티충전스테이션(인쇄패드)_화이트",브릭스탠드멀티충전스테이션,,-,0 checked out of 1,,101,100,0 checked out of 3,0,0,0,"Phantom Parts, Printing Parts, Product Parts",정기(월),\100000,,2026.7.31,,,,,,,,0,₩0,,0,0,,
PNA52706_퀵차지 도킹형 보조배터리_A2,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52706-드림센터경주,PO074699,MM00220199,"QUIC_PT4289-퀵차지도킹형보조배터리(UV)_추상적산출물,QUIC_PT4287-UV_풀컬러_전후면_와이이케이글래스주식회사[퀵차지도킹형보조배터리]",UV(퀵차지보조배터리),,-,0 checked out of 1,,101,100,0 checked out of 2,0,0,0,"Phantom Parts, Printing Parts",정기(월),\150000,,2026.7.23,,,,,,,,0,₩0,,0,0,,
PNA52321_브랜디드 피규어 키링_A2,2026.7.16,육승미,엠알오즈(MROZ),PNA52321-소만사,PO074714,MM00220274,"BRPK_PT4431-본드접착(키링)[브랜디드피규어(키링)],BRPK_PT5052-피규어부품(헤어/모자)_컬러,BRPK_PT4728-브랜디드피규어키링_추상적산출물,BRPK_PT1318-실버팩_100-1,BRPK_PT4424-UV_피규어상체전면_엠알오즈(MROZ)[브랜디드피규어(기본피규어)],BRPK_PT4471-핸드블록(A),BRPK_PT5055-피규어부품(손)_컬러,BRPK_PT4421-브랜디드피규어(기본피규어)_컬러",브랜디드피규어키링,,-,0 checked out of 1,,101,100,0 checked out of 8,0,0,0,"Product Parts, Phantom Parts, Package Parts, Printing Parts",정기(월),\890000,,2026.8.3,,,,,,,,0,₩0,,0,0,,
PNA52321_Quality 슬리브박스_C1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52321-소만사,PO074703,MM00220247,SLVB_PT0547-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄_200-2,웰컴페이퍼(Quality 슬리브 박스_반투명),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\90000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
