파츠번호,파츠명,ERP구분,지출기안계정,굿즈카테고리,굿즈/패키지 구분,수주처,COO,생산구분,소싱구분,굿즈연결,재고포함시점,재고포함사유,출시일,재고회전율기준일,운영종료일,운영종료사유,재고리드타임,MOQ,EOQ,표준원가,서브카테고리,계절제품
PT2833,PT2833-퀵버튼링노트_플라스틱커버_반투명,5.상품,상품(선급금),Stationery,Product Parts,(주)청산인쇄,대한민국,국내생산,해당없음,퀵 버튼링 노트,26년기초,,2023-09-04,,,,14,"1,000",,370,노트,
PT3360,PT3360-표시사항스티커(전용),8.수익,소모품비,Apparel,Package Parts,서울디지털인쇄협동조합,대한민국,국내생산,해당없음,굿데이 볼캡,26년기초,,2024-05-14,,,,7,"1,000",,80,,
PT4886,PT4886-챔피언피규어시상대세트(시상대),5.상품,상품(선급금),Awards & Recognition,Product Parts,엠알오즈(MROZ),대한민국,국내생산,해당없음,챔피언 피규어 트로피,26년기초,,2025-06-27,,,,45,"3,000",,"3,850",트로피,
PT4888,PT4888-트레이박스(전용)_화이트+옵셋지정색,5.상품,상품(선급금),Awards & Recognition,Package Parts,주식회사 모아패키지,대한민국,국내생산,해당없음,챔피언 피규어 트로피,26년기초,,2025-06-27,,,,13,"1,000",,"1,825",,
PT4890,PT4890-슬리브(전용)_투명,5.상품,상품(선급금),Awards & Recognition,Package Parts,주식회사 모아패키지,대한민국,국내생산,해당없음,챔피언 피규어 트로피,26년기초,,2025-06-27,,,,13,"1,000",,350,,
PT4902,PT4902-트레이박스_블랙,5.상품,상품(선급금),Awards & Recognition,Package Parts,주식회사 모아패키지,대한민국,국내생산,해당없음,심볼 아크릴 트로피,26년기초,,2025-06-30,,,,12,"1,000",,"1,410",,
PT4903,PT4903-슬리브(스탠다드)_투명,5.상품,상품(선급금),Awards & Recognition,Package Parts,주식회사 모아패키지,대한민국,국내생산,해당없음,심볼 아크릴 트로피,26년기초,,2025-06-30,,,,12,"1,000",,400,,
PT4954,PT4954-챔피언피규어시상대세트(판넬),5.상품,상품(선급금),Awards & Recognition,Product Parts,엠알오즈(MROZ),대한민국,국내생산,해당없음,챔피언 피규어 트로피,26년기초,,2025-06-27,,,,0,"3,000",,0,트로피,
PT4904,PT4904-지지대(전용)_블랙+실버인쇄,8.수익,소모품비,Awards & Recognition,Package Parts,주식회사 모아패키지,대한민국,국내생산,해당없음,심볼 아크릴 트로피,26년기초,,2025-06-30,,,,0,"1,000",,285,,
PT4957,PT4957-지지대(전용)_화이트,8.수익,소모품비,Awards & Recognition,Package Parts,주식회사 모아패키지,대한민국,국내생산,해당없음,챔피언 피규어 트로피,26년기초,,2025-06-27,,,,0,"1,000",,0,,
