task_id,발주번호,project,산출물,산출물_옵션,고객주문수량,발주지시수량,대시보드,과업지시서,수주처,과업지시일자,입하예정일 (from movement_산출물),입하여부,지출결의,발주서 생성 요청 일시 _ test_수현,발주담당자,과업지시월,과업지시주
PNA38461_0715_6551,PO074622,PNA38461-26년7월_재고생산, manual,,,5000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=reccy4GS8Ou1lk22E&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074622.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/r2hgZQpAf60h0PlecR0t3g/V-UpM3l_eGGYy2RiZDOwyleB7Bth-v2uXoCK0qLVM2n_RrPCjFGCqvchYwUBSioZfZCZISkZZFAyKzwLVZ7jjI4hnrdBnX07ucvVmfW-gTwrqb2iheNv2foHL0QvGC4ocpakpvaAMyHXRhKoH1S0df9aKESrNVEmOfhADgUb-4j6bHVmhazCKmqUV97P9ape/M3_jKimlyFo0tnpE_boCd1-dh_NOzRIPQC4xlqyxrIU),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:52오전,김민정,07월,
PNA38461_0714_6551,PO074621,PNA38461-26년7월_재고생산,"color box , 17oz/503 Handle Tumbler(black) ",,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recREWusOTxbKixzv&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074621.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/UMy8YjFRsqgvmxeGb1F1uQ/uTIEnoCyahnFLiRJYpgBCTf8x9TjgX4-N4U02WKCYmgYMcPCDot7ZrUqy57hZF624oXAxAqhjQdSRGaQKS4rvIlRiR1qQVybuFGL9OQ_wsCdJ4qVXiOjDvHkgCfuTddwAHeFJ4jdV72W__Hld4w_nNIPvMOMO_jTIP515EUtCspUz9ZwK60zc6tyxMDNvzzD/X5yo2Io2kTJzDe4vm-yYwG8veksFIimjJ6-HFOwc6d0),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,"2026.8.6, 2026.8.6",,,2026.7.14 10:50오전,김민정,07월,
PNA38461_0714_6681,PO074618,PNA38461-26년7월_재고생산,17oz/503 Handle Tumbler(ivory) ,,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recBlZzFinJkJtdGw&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074618.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/V03MeEvVx9AFMVZHNXJqGw/beUjtFE6yL-WjSuUHhcrGkezixx2TLQrJIHuAw4twgQVVLh8yQB83xJi-1UprrUzxrHMM7THbTfiLT2XnQDkAQapx0rdNtXmkpjP5d9ZKESP0tKl6Qs5LDD-9vf2hQ3m1QGseNw99LPkgrTpDarMYH1dAEObBcXvRjocY5NuIp2ftPW1UGyzTXA-LjwNGjER/XNXNSY5saYq8oC0fzRbkfzgICjg1YB6Pgx-EVgbWhDA),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:50오전,김민정,07월,
PNA38461_0714_6641,PO074619,PNA38461-26년7월_재고생산,"17oz/503 Tumbler (black), color box (91×91×183mm)",,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recyw1TvcFpSL13oW&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074619.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/__rxVBOEgy38qCGt2urvDg/4nnllCt0vjkj9a0rJZz1qGbtBn8ev7wc23IqAUv8VNMj8l5bpFpv0UZIrt9TtG-3t2BarSQ2CQhyF16vp4-qg8YIEE1BOAiIDQigejRgVAXW9uWKqOH-iwe_XZbjt4zbVWjZblod6XYIPZSKjQcNvGL56uUvtED3q1QFWV-1FjuBOIyAkR8P78TKPoa4d-kT/uKhnC93ldrT5F8fOuXlL6nmvO6xqWBFt2gxTPQkpxLw),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,"2026.8.6, 2026.8.6",,,2026.7.14 10:48오전,김민정,07월,
PNA38461_0714_6671,PO074620,PNA38461-26년7월_재고생산,17oz/503 Tumbler (ivory),,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=rec4WogVRSqKQWp14&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074620.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/akHAMIQ-7bvTJqaFjkOjqw/Cd64YekSEFOCuMhVe-yuTgJlxS3C5umaxmR5gYiZu6iWXkDblKbDhgqx-NovyuJIy9CWpoTDvZjNgssatFkP54dzenOzHfWNAA3UR1Me9kDVRfQJYIHwPd0iKNn8NBTw_5gaPbx7U5Uc1MMG4iJxJONDQRIHWx7TIqPcPeb3boqgPMkibwjqzeVYJyGnmPyR/U0xwJpTACtWYzykNW-emwMZa7C8zlZvbOvhkWEF1jig),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:48오전,김민정,07월,
PNA38460_0617_6071,PO073871,PNA38460-26년6월_재고생산,블리스터,,,5000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recMk04LNhSjV69ci&UvxrW=rec6oRQRuqWT3vbrq&Aq5EA=recWjSn9z7PxgjTZy,Order_PNA38460_PO073871.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/-DpT62Nrty5nFOtD4variQ/cEnIDbj4qhJf-cob395w0jkkvZjvM6rscEfuSjCEWZTHWhMNniWqxcna593_LJqgfqYZDP2RZvHNEMmCoEjZLK7F4Bf7ph_P1hvpNO7Wz6Sjwl3KgZ4aFzttYa_6VO3nbJQw3gPrguwz4AtyXlNKkcMuMHultha0zcLSNA5_aHcjYjYVgaVHwQjc-ZXNj2GF/cjG2NiKIPDtIcuH5hAOq9vc9DL54j9pgdVwRtgwZiMU),"""Shenzhen Xin Hong Yang Packaging Products Co., Ltd.""",2026.7.2,2026.7.20,,,2026.7.2 9:14오전,김민정,07월,
PNA38461_0707_6651,PO074491,PNA38461-26년7월_재고생산,소프트그립블랙펜,,,5000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=rec0cb8ETWJ1V0wGi&UvxrW=recQqLwE78gI7ocSA&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074491.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/ibqooAEe4rfi05IrGsuSPw/5IQzmp-bv2SshzDlh2Aa2F9b7jRiR9B6_svaSTW27dPCg_VWqjb0SjKM5VHOwWRb0t3-SG0ne76wsKJokNsIdeYUAsTr1iskUpgIA5OUoo9lhWNGZJ6mFYCXpWo9qE61v_wTBj_pxMMBBzdRRpfu8_2IbtXYRPItgYn6vPW2NSyGAtV_R5qGlWGeFDw6s-e-/oaCMd_24Rmdvh1mpxTXCGtYABawUyUN7pJrwp3ZSRfg),"""Tonglu Yaqi Stationery Co., Ltd.""",2026.7.10,2026.7.21,,,2026.7.10 11:06오전,김민정,07월,
PNA52315_스테이 텀블러_A1,PO074550,PNA52315-아이지넷,스테이텀블러,"스테이텀블러, 레이저각인",55,57,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recMk04LNhSjV69ci&UvxrW=receT2w4t6NdG6xAP&Aq5EA=recYdlWp7ZstrQgNJ,"""Order_,PNA52315_StayTumbler.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/-FNJbWP-tUtrVF4Bo3qLQw/4HWo0supnKsFHPPdTewlfDnCpqNv3b2Pj2UMoYr17kZuawOgDcjBdDXvlsRWagPEqsVHN-zyoDI-_2Scol1PmZRC0F7ePxMMMuei_H0AXXoIjnk9y6W6qcjSYnp5yvVoeR4timUT7Z6pi50_q00F11blDJVWhhlbG0ni6-DVU08zKY93Sc7S350ywNnRfskO/g6XaQp2ne9GUkYe8Mh6qmuHOaxyV1kEtcOAlvbgoij0)""",주식회사 에벤에셀기업,2026.7.10,2026.7.17,,,2026.7.10 10:15오전,김민정,07월,
PNA52206_임팩트 슬로건타월_A1,PO074397,PNA52206-유네스코한국위원회,임팩트슬로건타월,"임팩트슬로건타월, 승화전사, 샘플(본 제작과 동일옵션)","1200, 3",1210,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=rec72FKf1UZxoZ6Im&Aq5EA=recqP0Qh3I3F6trcO,"""Order_,PNA52206_ImpactSloganTowel.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/gv_UqW23UvrXHhuFBWrZ-Q/L3oHrmQwRDa7uzJxCSztqzG6FrpVjbZI9TlQwbtNSsD4lWUSjdA6LvNh_Fwyrnd7v33jQXJSK8TtCl8JdSNEoVoGOGiJIVmlEGrcG40MtSvpvGN12cHPMl8Po6Go-g2k4cNaFZXSzWRC-D8x9MlfL6106XPXBTfun0BvhzqaEg7s3G-g0RwaNoRblyZn_AAb/k2pre_acou1P3yH6WU1762OlZObgO9F1uTNJm92X0wg)""",(주)승화파트너스,2026.7.3,"2026.7.8, 2026.8.7",입하완료,26.7.13-7.17_(주)승화파트너스,,김민지,07월,
PNA52206_데일리 짐색_A1,PO074396,PNA52206-유네스코한국위원회,데일리짐색,"케어라벨(전용), 데일리짐색_바이어스/스트링, 샘플(본제작과동일옵션), 데일리짐색, 패브릭디지털","1200, 3",1209,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recs8UZSrjwePOwJ2&Aq5EA=recqP0Qh3I3F6trcO,"Order_PNA52206_PO074396.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/Z0u9SltMqgwMrTyplh6n7g/MMi2EboMsukTrd8HkFr904BGghGEFWQdqm2kXZ3iClkMTJU20JBoq09mE4jRYqUaKL9Cm3mLbpXvmne5JqkqwFjTQr2QB5kmjyjOtE3UOTx7JfcFJXbTF3aeY1IZAJmd4KQRhgbKJoAoOU7qyMAWqqLCQnvR6AL5S3J8NvDIIMzN4WnRCLgQWDcrb0sMfM3J/UnonVvainOOGbfKGXTgwMwJGUA098GCqHMwh-3OjK7E),Order_PNA52206_PO074396.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/PZlyjyFIwFjypL0GY_IeOg/vQ3-fXOjVxT_jL5HnzJ64W933kk0Z9YQZXU21_mNcQSUhB-BYZGHzulKMWzNTqwn4sbbNCkHZpQQxd0EfDYx2emnCryad1JAeDB3g_5wyM_vTLlfK6kLT1FXvhKfX6cOcuUHWAeIHB_9g4P5bIazptCg_ws64_0JsD8WCJi-5vN2OeZg--h0O4y5Ii3_vBNm/bKB2UM4ltanksv-9KyLpRuXVil6KgChigl0Ai4BdAko),Order_PNA52206_PO074396.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/HLOiEm-ERHOFF4HyQ5nTtQ/iKCkZBk_d1WN_1SRhgbCsFdKej8xNKKt2zFaO9kL3o2UAg87nDuU7k1ZeRUDEORq7tfNrSDg5sC2l2GGYv0PWuE-xmRzO44QlOytrzydDQJEN_RuXccPMpVlksIrBKatczljF3cLptH_deV4q6p7-Hen-2lyrUmqcsKCFuYzw5neg288do_D2nIDz21o14HJ/uk0nwzIaLPDtcjFTBlm-C0xsDf6TtOZUzs3RgKP4iU0)",(주)승화파트너스,2026.7.3,"2026.7.8, 2026.8.7, 2026.7.13","입하완료,입하완료",26.7.13-7.17_(주)승화파트너스,,김민지,07월,
