task_id,발주번호,project,산출물,산출물_옵션,고객주문수량,발주지시수량,대시보드,과업지시서,수주처,과업지시일자,입하예정일 (from movement_산출물),입하여부,지출결의,발주서 생성 요청 일시 _ test_수현,발주담당자,과업지시월,과업지시주
PNA52276_몰스킨 데일리 노트_A1,PO074850,PNA52276-뤼튼테크놀로지스,몰스킨노트(블랙/플레인/하드/L),,300,305,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recMk04LNhSjV69ci&UvxrW=recOoBZ4G2ZzI7a2u&Aq5EA=recxwztT57ROxBvIS,Order_PNA52276_PO074850.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/u_WvYWcsFa_htp2FjnBkjw/blXJXpgi0IUCjLiZlcDgU1CusgW6XZG7P1JLCIctTfO52s2Fin_J8OcXTPJj6vgFPKG8MdFfgQg0gC-q9sbycAekTzxX1gQ7wn60ixt6_cXudm2cTHPnnrCALxiUMYUAfys8OaLA2liQjSgLS3L57WSqvrP1SILQ3OGL2JzQG2ZTTVJ62as1rMnuXSaP7gDm/5AgHtjS07uWkxjDDcTokuyKDRhTg0iTBcCUqu4nb4TA),(주) 모나미,2026.7.24,2026.7.28,,,2026.7.24 4:28오후,김민정,07월,
PNA38461_0715_6551,PO074622,PNA38461-26년7월_재고생산, manual,,,5000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=reccy4GS8Ou1lk22E&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074622.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/5XQZyrsggfGoEqA0ha5eyA/rhH3-x1Qaj_NVRt8ynihIpdvWMfRweoOTzoXt3sLTl3IbGCNl-EIbJmXkmaWGA6HN7SXhecL5cscZj-5IdJHgnOzqazV0XTmCsX-TEt6Uvl-GDikNvtVSPhH5-koMju5qnTeqDq3oWsvFVaA0LBIKD7-WrRlrhwUE_ELSvPdk5bB8UqPx7r3e574G2ZmN-W4/ZpOHnS9K4MWvWAXf0VhgzGeGUzdO0YnwwNr9upKKzyI),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:52오전,김민정,07월,
PNA38461_0714_6551,PO074621,PNA38461-26년7월_재고생산,"color box , 17oz/503 Handle Tumbler(black) ",,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recREWusOTxbKixzv&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074621.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/Ze9fFcLXDFWH633qHhvndg/itFpEbiD03uPi10pjFWUGee7TmC1JArZHU-8LRGyuhfYt5LIExBuuZRW60Lz7KgzF4gEyT-wK0jDHnlr3tgNn-tCqb6igKozRkdmOBlB3MElH97jQq9_w45CSZDvyB3zCe_Zyv8k-mYegNoBqgDQowlapg9pNMElGZRoDJuNdaXHK_bZctFLOJAKpleSxDA4/Q9JA9PcVxSgYX6JJJ42OjrcSvHp-3m3MsTEFvvKb4yw),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,"2026.8.6, 2026.8.6",,,2026.7.14 10:50오전,김민정,07월,
PNA38461_0714_6681,PO074618,PNA38461-26년7월_재고생산,17oz/503 Handle Tumbler(ivory) ,,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recBlZzFinJkJtdGw&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074618.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/RRWeR4oL8ZoDgal18hQXdg/CAMhF6Le8W56LFc83s6ozKifGM2wAbhV5eqZbB1csd30Q65ihHHMhB_ixQSeeW6A02x_MspkhFjbZQPulvatHPiZ8z-yqeaakeFEUALItYgzfVH2Usz_LKpHli97eyMnT6c9erb31TFrBq7ty2mcu4VYyh9vMMx5mXveun9lJCLGHpXYMwWXS5pYVVWTNk6E/GGk2qz_RxSqV8be8ldBCZpSGlVJS4IV75FGxehW2Et0),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:50오전,김민정,07월,
PNA38461_0714_6641,PO074619,PNA38461-26년7월_재고생산,"17oz/503 Tumbler (black), color box (91×91×183mm)",,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recyw1TvcFpSL13oW&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074619.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/hdYIDkhrkyxRpnuqIBzL9g/twuKttP8ocPA1goZ0-7lGCCkHsY5IQ4wuBxx_ymdShShs7dbTiq5BIpMwYxEz3Op_BknLivW-iFTrrqDPYaHrSk4dJ3yMvj2nZrbGksOd_cceHqmyR5oBCsZ0V0ANeIPMhvAeVvEJVqwgM4gs_YRAzwaz-MZ0qZbFq6LrEgMZmIX5hamt0L-zjKotZt7c9q-/mMeM4x8SOEsy_RaffUCAF6pFCEZrkbVxFibrGzO4x_Y),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,"2026.8.6, 2026.8.6",,,2026.7.14 10:48오전,김민정,07월,
PNA38461_0714_6671,PO074620,PNA38461-26년7월_재고생산,17oz/503 Tumbler (ivory),,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=rec4WogVRSqKQWp14&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074620.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/GvFwU6RI4mzqGxRwjtkgMw/ryPsbcKJei5yCOIsheqOyygjQf-ga0_bydggkiWpLyoCjk2iQrWJcrYE7j5se5L97q65gPcYtm1RctFYftDq_N21UZ_3wUxPe3l4qI5Q_dPu-BFQ2RTYx7w8caubzBY11e6uQjYkzeyRa-xKaQn9dE-cXV8DhHHPNXpt-uhPeLrlBR_chx7PE_hP-yMzJSxO/JdF9Dp4u08yk_cdk1TDmP2dHf7SwGhYREGTGOLjHxN0),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:48오전,김민정,07월,
PNA38460_0617_6071,PO073871,PNA38460-26년6월_재고생산,블리스터,,,5000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recMk04LNhSjV69ci&UvxrW=rec6oRQRuqWT3vbrq&Aq5EA=recWjSn9z7PxgjTZy,Order_PNA38460_PO073871.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/-vqb-dsyjVCZANzNBEeFhg/zkZt4Lixo6rE6vpWv8P0ibH-8uBaqnsfmTwE2w4CnbCf10nKeDOWRf_ZWhB4pWYcbPL-g9x9E91YOCppOqeY5JXlcsuD03GZAVJ8uUEb8lZMVWx_3NEqp6318pcLSQUeFy_Vl0zkbWnkLMLGboyWuGD-9WwTwaWpau_GdVqDO9ucA2setNIfP5gjqb19r-Dd/HbwHNuHF44Uv1SGVGPYG8TbMaq1dJL-ANw7KtDMsx_Q),"""Shenzhen Xin Hong Yang Packaging Products Co., Ltd.""",2026.7.2,2026.7.28,미입하,,2026.7.2 9:14오전,김민정,07월,
PNA52873_스테이 텀블러_A1,PO074765,PNA52873-피타소프트,스테이텀블러,"레이저각인, 스테이텀블러",300,303,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recMk04LNhSjV69ci&UvxrW=recifOM6VQ8oAdhuo&Aq5EA=recVwu5tsQB42CRXg,"""Order_,PNA52873_StayTumbler.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/SAvEC8bqkVwcv-it3Ng5PQ/frkQBd81QyCJQ7Rea96tf9O2_ZgZ2S93v9uARNXPjznX5V6l9SwFL6X2WLfLQLhjIV1fE5BCFHhg751VlH2C216EiCILj6tFEH2-MVcHQAIVUh1jGwKmw-8scedP-jpUFj6A49Xs-oK_9UJCU_nEvbn1OgvRQJEZ5QaDr6-B16XdJ8eRbvMX7bKNFD7DVCdw/Pgv2_DbUciujpqxNNdYc8PaY6MlieaUpDx94ptJtOzw)""",주식회사 에벤에셀기업,2026.7.21,2026.7.29,,,2026.7.21 12:17오후,김민정,07월,
PNA52917_스탠리 데일리 텀블러_A1,PO074788,PNA52917-비씨카드,스탠리데일리텀블러,"레이저각인, 스탠리데일리텀블러, 주의사항표기서",50,51,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recMk04LNhSjV69ci&UvxrW=recWKOXlM7q4wIzZB&Aq5EA=recUJqigebHK3VXJD,"""Order_,PNA52917_Stanley_DailyTumbler.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/raTZMlHYnTr962zcIKNWUw/UDcMDCOnx2jPQAZR_yR562HK09kQ7d8ay7rmW4nYRIsQzJYETWuwDNDtC_ZQTr07UeEFRif5L1QGCGxU3l17akyVUDe-dnbGGcQjAh3YcHBLUahGrnG3Ok94Ek-8BLg0sHfpSrGlBnemVitVE_pKlyUBNfHjube3vw7h4ZBFqIxnqvs591RlDJC6sfgtWN53hd8a0ZwHeFOWG1GeI0EP1g/tj1jO22vVnjgFpsmXOj31xPApLdds-Cojv1oMVupfxU)""",주식회사 에벤에셀기업,2026.7.23,2026.7.27,,,2026.7.23 9:44오전,김민정,07월,
PNA52206_임팩트 슬로건타월_A1,PO074397,PNA52206-유네스코한국위원회,임팩트슬로건타월,"임팩트슬로건타월, 승화전사, 샘플(본 제작과 동일옵션)","1200, 3",1210,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=rec72FKf1UZxoZ6Im&Aq5EA=recqP0Qh3I3F6trcO,"""Order_,PNA52206_ImpactSloganTowel.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1785139200000/cC4sX7u3_heHTlUFVbyqpg/7a22PpGqYoOagDHRo8YzUOGy9nIEzKz01MMA0Ecp4JmWp0t6OCPDDbeyL_xwP3TscltGFC0OT92PKSutO01b5MkCRw4wshdzMK-Mmtx91bcgycrHlwWpQceyCvA94KUJP5zC2mnhpOyUNKgnKPlUF-Jdqp2NRD8D8xDQ2klMo6X0jvabGAl1sFwfCpqy2B9C/egG1fkIcvrfiRtmzNPNTyLEYfOTlreeK69O4bo8wQlA)""",(주)승화파트너스,2026.7.3,"2026.7.8, 2026.8.7",입하완료,26.7.13-7.17_(주)승화파트너스,,김민지,07월,
