프로젝트명 (Short ver.),총 매출액,주문내역 금액 합계(from order),CX Specialist,발주 신청일 (기능),출고 요청일 (최초 출고일 기준),최종 출고일,배송 방식,출고방식 (확정),출고 날짜(월),드랍박스 링크
PNA36790-리디,10453300,10453300,현동원,2025.12.26,2026-01-02,2026-01-22,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/wfh6iuqsx1r8z4g333ssl/AOd6j5c-XHCCdosPOxmE-xI?rlkey=36gc3r4i158gf6mfvbod54hih&dl=0
PNA37088-한국토지주택공사,12439240,12439240,지윤미,2025.12.4,2026-01-02,2026-01-02,퀵(지방),,2026-01,https://www.dropbox.com/scl/fo/4uex431x5h948c4mghrel/AMkqNpchTKjiDW3Fo4DAmN8?rlkey=hkin7xc11e6ik3z6ljv2kirvw&dl=0
PNA37151-LXMMA,3632200,3632200,채효경,2025.12.8,2026-01-02,2026-01-02,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/4zrza0bimz9aeopgo8a0d/ANIYHdEHJVxIS3pC7b_gBTE?rlkey=412g2en7ptjujpfvd98eyejhf&dl=0
PNA37371-성공홀딩스,7233050,7233050,현동원,2025.12.10,2026-01-02,2026-01-02,택배(일반),,2026-01,https://www.dropbox.com/scl/fo/nouwf8ifszpis803ywd8x/APQDUK1PEhOfU_jc7pwg4mg?rlkey=g10xsyjd464cfihnp1xuv3rcz&dl=0
PNA37521-써모피셔사이언티픽코리아,5294300,5294300,이은지,2025.12.15,2026-01-02,2026-01-02,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/ktqbd2bdr8dl8ie3unru2/AKxTRwieGfxfrvx7iC1YB7c?rlkey=hz24mbq34ff22cuk0chw7reda&dl=0
PNA37544-대구경북과학기술원,15484700,15484700,송지영,2025.12.12,2026-01-02,2026-01-02,퀵(지방),,2026-01,https://www.dropbox.com/scl/fo/5hfvkcvp4pldamumb7hdy/AD_GSN7MCeQ7JVTNXZCJKH4?rlkey=sip4qe82r3nx3oxfhcpbj2pcz&dl=0
PNA37864-한국산림복지진흥원,6000000,6000000,지윤미,2025.12.16,2026-01-02,2026-01-02,택배(일반),,2026-01,https://www.dropbox.com/scl/fo/zn53xqys4ky5muj4jxbb9/APoWF4q60lslT3jCU-R2_sg?rlkey=g1bgyalqbiolatv8o700zxd23&dl=0
PNA37951-인터브랜드,1848000,1848000,이은지,2025.12.11,2026-01-02,2026-02-09,"고객직접퀵배차, 퀵(수도권)",,"2026-01, 2026-02",https://www.dropbox.com/scl/fo/9f3o187jow0yawl60hsbe/AG15-aXSQhapQSveqeeXqQ8?rlkey=xxvphpslpe4dxpf8edvcr1oku&dl=0
PNA38014-우성사료,7079600,7079600,이은지,2025.12.12,2026-01-02,2026-01-02,택배(일반),,2026-01,https://www.dropbox.com/scl/fo/8sar5rmrfhma1yr26e2fc/ANUDgSpVgtZ8EGjrZ-hJygM?rlkey=mw9gd8a5ug0d7j9jil2z3386o&dl=0
PNA38241-SKmySUNI,761200,761200,황휘민,2025.12.22,2026-01-02,2026-01-02,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/ekhm5ur92z3ilu6cnbrgm/ACJUFfTMSmL1XsxJfmERNHo?rlkey=npsmecjdh6sh04ybdodihptbm&dl=0
PNA36787-브이앤지,3589850,3589850,현동원,2025.12.11,2026-01-05,2026-01-05,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/56sh4tc563qj6sx1vnhqd/AGtu91OxgM3ZoXJPzpepuRk?rlkey=p7zbibq25mgxeo8mr6jnes0f5&dl=0
PNA37652-두산밥캣,5420250,5420250,김령은,2025.12.15,2026-01-05,2026-01-05,고객직접퀵배차,,2026-01,https://www.dropbox.com/scl/fo/o45vwloi1pijip3or8kb7/ALQrVZO-zM5_W6qirJbfSqw?rlkey=12ini2t1i5kciexhym8s2zh7h&dl=0
PNA37690-레뷰코퍼레이션,2367200,2367200,김령은,2025.12.12,2026-01-05,2026-01-05,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/7y34niz1lj0ox32mfbt66/AO6fFoIxtEcwFg05p34ps7s?rlkey=2g3zhcat19v0dbn5heqh4wqua&dl=0
PNA37774-현대위아,6486480,6486480,이은지,2025.12.16,2026-01-05,2026-01-05,택배(일반),,2026-01,https://www.dropbox.com/scl/fo/t8foan43lgy4ufc87wcqq/AGiluP7aR91GXwrEFZougeI?rlkey=165knofzzno0lpokxmeleuwtr&dl=0
PNA37807-대학내일,9953900,9953900,현동원,2025.12.30,2026-01-05,2026-01-22,"퀵(수도권), ",,2026-01,https://www.dropbox.com/scl/fo/gn7wv69eegwmb9rpsjz97/AJRGsgWeOjNM-CClOSPUecY?rlkey=79zk2tx22mvyn6t5twxcyb7du&dl=0
PNA37911-데이원컴퍼니,2544300,2544300,송지영,2025.12.18,2026-01-05,2026-01-05,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/5xo9qh0yx0g9sevcevvwt/AMo6Hy4J1b0f4WwtT3IodCk?rlkey=sp2lh0nerml41dfq52gecknpj&dl=0
PNA38059-지엠컴,6330500,6330500,채효경,2025.12.16,2026-01-05,2026-01-05,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/iujkedqxetbnd9c2k45sm/AICDQld7G9HN0CkSCvxh1ns?rlkey=5bftad7ugxgnp0yi0csunfv8r&dl=0
PNA38147-휘아트룩스코리아,4251280,4251280,김령은,2025.12.23,2026-01-05,2026-01-22,택배(일반),,2026-01,https://www.dropbox.com/scl/fo/rqz4s8p09ydrzlf54h8pj/ALb3e8sHYBlzvQC9-8hreZA?rlkey=4aigmndxxzg8kejhpm7nzirdv&dl=0
PNA38203-몰타스토리유학,1287000,1287000,현동원,2025.12.19,2026-01-05,2026-01-05,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/djit98vov0vualngh20ps/AMgaSIrQsby8pj6T_ifEpNk?rlkey=wyf64gyb11xdoqusoxygqr9vs&dl=0
PNA38291-이에스피마케팅,864160,864160,김령은,2025.12.26,2026-01-05,2026-01-05,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/9098rylpxwoj90gs95w54/AB3oVG7kdsqlteC_AAuLQeA?rlkey=eorkblipbdfdbdsbwoerrejfe&dl=0
PNA37221-스튜디오슬램,21200000,21200000,황휘민,2025.12.5,2026-01-06,2026-01-06,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/ifhyl9x6bdn31h7d6srow/AMyEupp_kBLvEZyaQwYzEHI?rlkey=rzl6zu9xk5w84xfgif3ur1782&dl=0
PNA37885-델타항공,3649800,3649800,채효경,2025.12.4,2026-01-06,2026-01-06,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/a00y1q21l6ouecsx2wzix/AJwoPyculmmYXlej6kguGro?rlkey=wm03ia8wl5es08awrdxw8n6m1&dl=0
PNA37919-대한항공,16334164,16334164,김령은,2025.12.29,2026-01-06,2026-01-19,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/csdiee56jftcajarliqwp/AJttvk7xUExCjQydLKZO9Ts?rlkey=ecjvpdj4wfaeaer7aex0bk0ha&dl=0
PNA38015-킵어스위어드,490600,490600,김령은,2025.12.19,2026-01-06,2026-01-06,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/p4sdyb1f4skc5sckh7nix/AMnh7QnhULOsmPgcczBLuOM?rlkey=iudko9bh0ipv1lpwra4kjbs49&dl=0
PNA38032-기후솔루션,883300,883300,채효경,2025.12.11,2026-01-06,2026-01-06,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/al76875s5bh08z3104nkj/AIwjQceR8yZkKtYuPe2UlS0?rlkey=vbl90lppgz67pnmjlcg21z2vv&dl=0
PNA38036-워터스코리아,2827000,2827000,채효경,2025.12.19,2026-01-06,2026-01-06,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/cnomjzwoxp8cg0l4jf507/AOS-wxbGIWxf9pkpEnBFaUQ?rlkey=c3r9ek9lpxui7f248nxv2xp8q&dl=0
PNA38094-iM금융그룹,946000,946000,현동원,2025.12.16,2026-01-06,2026-01-06,택배(일반),,2026-01,https://www.dropbox.com/scl/fo/wna4yqyvx5zlqewrmwyko/AJ1W7t4R8kGZmlnYFBVu7A0?rlkey=jbouu2fhww03vee1gftdgbp3k&dl=0
PNA38125-보스턴컨설팅그룹,5250300,5250300,채효경,2025.12.15,2026-01-06,2026-01-06,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/kwl97kxc96fp7fdkigom4/AITwbWIgSeqCCAcvMz6fmMo?rlkey=0cvajaun7n9e6qep4q318slvs&dl=0
PNA38144-국립중앙의료원중앙응급의료센터,2818420,2818420,김령은,2025.12.22,2026-01-06,2026-01-06,퀵(수도권),,2026-01,https://www.dropbox.com/scl/fo/nqfxrmieqoxd82gapry24/AH-l-eZYj8sDjZVAnVjzvpU?rlkey=hbaq6d9e3sbpwrweo43d7fejn&dl=0
