기준월,파츠번호,파츠명,판매량
25-1,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,270
25-2,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,100
25-3,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
25-4,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
25-5,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
25-6,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
25-7,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
25-8,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,400
25-9,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
25-10,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
25-11,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,500
25-12,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,1472
26-1,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-2,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-3,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-4,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-5,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,100
26-6,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-7,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-8,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-9,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-10,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-11,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
26-12,PT0947,PT0947-씬페이퍼봉투_화이트_100-4,0
25-1,PT0948,PT0948-씬페이퍼봉투_화이트_100-2,200
25-2,PT0948,PT0948-씬페이퍼봉투_화이트_100-2,0
25-3,PT0948,PT0948-씬페이퍼봉투_화이트_100-2,100
25-4,PT0948,PT0948-씬페이퍼봉투_화이트_100-2,0
25-5,PT0948,PT0948-씬페이퍼봉투_화이트_100-2,0
