협력사 이름,협력사 Status,발주담당자,협력사 결제조건,하도급계약 대상여부,업태,인쇄,1. 제조유형,2. Goods Category_1.goods
(주) 퓨전에프앤씨,거래중,이난영,,,,,,
(주)뮤스트,거래중,육승미,건별,대상,"테크, UV평판인쇄",UV인쇄,외주용역,"Tech, Bag&pouch"
주식회사 연준프로비전,거래중,김하은,건별,비대상,생활용품,,단순구매,Lifestyle
주식회사 비브릭스 코퍼레이션,거래중,김민지,건별,,,,,
주식회사 모아패키지,거래중,이난영,정기(월),대상,"옵셋인쇄, 지류",옵셋인쇄,외주용역,Kit Package
마르멜로,거래중,김민지,정기(월),대상,디지털인쇄,디지털인쇄,턴키제작,Lifestyle
주식회사 케이디엠제이,거래중,김민지,건별,대상,"패브릭, 자수인쇄",자수인쇄,턴키제작,Apparel
도매박스&뉴제이스포츠,거래중,김하은,건별,비대상,"생활용품, 플라스틱 제조",,단순구매,Lifestyle
(주)우와,거래중,김민지,정기(월),대상,"디지털인쇄, 테크",디지털인쇄,턴키제작,Lifestyle
(주)아이아트텍스,거래중,김민지,건별,대상,패브릭,승화인쇄,턴키제작,Fabric
마이 패스포트(Mai Passport),거래중,김민지,건별,대상,"패브릭, 실크인쇄",실크인쇄,턴키제작,Bag&pouch
주식회사 라이클,거래중,김하은,정기(월),비대상,생활용품,,단순구매,Lifestyle
윈브릿지,거래중,김민지,정기(월),대상,드링크웨어,실크인쇄,턴키제작,Drinkware
감성코퍼레이션 주식회사,거래중,김민정,건별,비대상,테크,,단순구매,Tech
(주)스타양행,거래중,김민지,건별,비대상,"생활용품, 실크인쇄, 플라스틱 제조",실크인쇄,턴키제작,Lifestyle
와이이케이글래스주식회사,거래중,김민지,정기(월),대상,아크릴가공,UV인쇄,턴키제작,"Stationery, Lifestyle, Bag&pouch, Tech"
공방플러스위드,거래중,육승미,건별,비대상,"생활용품, 레이저인쇄",레이저인쇄,턴키제작,Lifestyle
그리닉,거래중,육승미,건별,대상,종자업,,단순구매,Lifestyle
바네사381,거래중,육승미,건별,비대상,"패브릭, 실크인쇄",실크인쇄,턴키제작,Lifestyle
"제로코리아 주식회사(ZERO KOREA Co. , Ltd)",거래중,육승미,건별,비대상,세제,,단순구매,Lifestyle
주식회사 아조아(AJOAH),거래중,김하은,건별,대상,"드링크웨어, 플라스틱 제조",,단순구매,Drinkware
비투비 커머스,거래중,김민정,건별,비대상,테크,,단순구매,Lifestyle
