Name,파츠명,판매상태,변경일(인터페이스용),판매상태 변경사유,재고소유구분 (from sync_parts),적용 굿즈명,품절 성격,품절 사유,굿즈품절여부,공유대상
SSU001676,PT3855-미스트워터보틀_다크그레이,일시품절,2025.7.1,"협력사 이슈로 판매 잠시 중단, 대체 협력사 찾는 중이며 협력사 및 입고 일정 확정되는 시점에 공유드리겠습니다. (미스트 워터보틀 3컬러 모두 해당)",신시어리,미스트 워터보틀,비의도적품절,비의도적_납기지연,,
SSU001775,PT0562-코튼스트링파우치(커스텀인쇄)(L)_광목_200-1,품절예정,2025.9.1,"현 재고 (110개) 소진 후 졸업 예정입니다. 

(사유 : L사이즈 단가가 높고, 재고 회전율이 낮아 고객 선호도가 더 높은 XL사이즈 하나로만 운영)",신시어리,Raw 코튼 파우치,의도적품절,의도적_졸업예정,,
SSU001900,PT4331-히트업손난로보조배터리_그레이,의도적 품절,2025.12.5,잔여 재고 체크파이널 인입건으로 소진되어 일시 품절 처리합니다. ,협력사,히트업 손난로 보조배터리,의도적품절,의도적_시즌종료,checked,
SSU001931,PT4996-몰스킨다이어리(2026_위클리/하드/L)_사파이어블루,의도적 품절,2025.12.17,협력사 재고 품절 (2026다이어리 시즌 종료로 재입고 예정 없음) ,협력사,몰스킨 2026 다이어리,의도적품절,의도적_시즌종료,,
SSU001933,PT4997-몰스킨다이어리(2026_위클리/하드/L)_스칼렛레드,의도적 품절,2025.12.17,협력사 재고 품절 (2026다이어리 시즌 종료로 재입고 예정 없음) ,협력사,몰스킨 2026 다이어리,의도적품절,의도적_시즌종료,,
SSU001946,PT1400-에디트캘린더_삼각대_블랙,품절예정,2025.12.29,"에디트 캘린더 삼각대 블랙 색상은 600여개 재고 소진 후 품절됩니다. 회색 삼각대 6,600개분량 남아있으므로 회색 삼각대 소진 쪽으로 안내 부탁드립니다.",생산,에디트 캘린더,의도적품절,의도적_시즌종료,,
SSU001963,PT0832-레더스킨다이어리_그레이,의도적 품절,2026.1.7,"재고 효율성을 고려하여 그레이 다이어리는 슬로건/시그니처 2종으로만 운영하며, 추가 생산 계획 미정",신시어리,레더스킨 다이어리,의도적품절,의도적_재고효율화,,
SSU002009,PT2742-슈가케인스트로우_크림,품절예정,2026.2.3,현재고 약 200개 소진 후 졸업 예정 (협력사 단종),신시어리,슈가케인 텀블러,의도적품절,의도적_졸업예정,,
SSU002036,PT0721-내추럴노트_내지(만년)_화이트+블랙인쇄,품절예정,2026.2.11,"내추럴노트 내지는 1종으로 운영 예정으로,
만년내지는 현재고(300개) 소진 후 단종입니다.",신시어리,내추럴 노트,의도적품절,의도적_졸업예정,,
SSU002063,PT1464-올블랙펜_매트블랙,일시품절,2026.3.5,체크파이널 인입건으로 잔여재고 소진되었습니다.  (협력사 생산 지연으로 재입고 일정 미정이며 추후 공지 예정입니다!) ,신시어리,올 블랙 펜,비의도적품절,비의도적_공급부족,checked,
SSU002087,PT1195-스펙트럼컬러펜(컬러잉크)_바질그린,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002088,PT1198-스펙트럼컬러펜(컬러잉크)_캐롯레드,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002089,PT1199-스펙트럼컬러펜(컬러잉크)_레드,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002090,PT1200-스펙트럼컬러펜(컬러잉크)_다크네이비,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002091,PT1202-스펙트럼컬러펜(컬러잉크)_다크그린,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002092,PT1214-스펙트럼컬러펜(컬러잉크)_파스텔퍼플,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
