period_unit,period_key,group_type,parent_group,group_name,inv_amount,inv_ratio,sku_count,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,weighted_avg_unit_price
weekly,2026-02-06,category,,Tech,59065724,0.1497433776,19,4240,20219,10906,1.01632625,4.846485955,2.614163699,14158.02967
weekly,2026-02-06,category,,Stationery,102943172,0.2609814497,51,11856,91245,42850,0.4312523013,3.318962233,1.558633697,3744.47367
weekly,2026-02-06,category,,Drinkware,42541439,0.1078510231,14,2250,11685,5662,0.2770511683,1.438819067,0.6971838733,5238.291278
weekly,2026-02-06,category,,Lifestyle,131068010.4,0.3322835182,21,7020,26456,15131,0.5318570908,2.004389059,1.146371744,9930.121184
weekly,2026-02-06,category,,Kit Package,18808254,0.04768267093,10,396,7396,4196,0.06970843878,1.301928316,0.7386278008,3310.843491
weekly,2026-02-06,category,,Awards & Recognition,13373500,0.03390448681,2,500,1502,734,0.1308557969,0.3930908139,0.1920963099,3500
weekly,2026-02-06,category,,Bag&pouch,21670918,0.05494009448,6,1487,5162,3397,0.2964055587,1.028947878,0.6771282334,4319.691028
weekly,2026-02-06,category,,Fragrance,3441691,0.00872537235,5,1300,8969,4402,0.278742215,1.923106867,0.9438640235,737.9573637
weekly,2026-02-06,category,,Figure,1533610,0.003888006881,2,0,0,0,0,0,0,1111.123043
weekly,2026-02-06,sub_category,,Product Parts,394446318.4,1,130,29049,172634,87278,0.551343223,3.276552927,1.656516018,7486.49883
weekly,2026-02-06,sourcing,,중개소싱,97412610,0.1851750411,18,4340,21995,11940,0.4743133831,2.403807111,1.304908248,10646.10705
weekly,2026-02-06,sourcing,,해당없음,276226768.7,0.5250891363,221,42446,229984,112750,0.4491906143,2.433837211,1.193192333,2923.207651
weekly,2026-02-06,sourcing,,국내소싱,108346494.7,0.2059596453,41,11147,55862,30339,0.7578014869,3.797641219,2.06252259,7365.671011
weekly,2026-02-06,sourcing,,직소싱,44071037,0.08377617731,17,9738,29725,21786,2.32098541,7.08474957,5.192543453,10504.02895
weekly,2026-02-06,production,,해외생산,249830141.7,0.4749108637,76,25225,107582,64065,0.9287477981,3.96101271,2.358780087,9198.382318
weekly,2026-02-06,production,,국내생산,276226768.7,0.5250891363,221,42446,229984,112750,0.4491906143,2.433837211,1.193192333,2923.207651
weekly,2026-02-06,procurement,,중개소싱,93668350,0.2374679282,14,2940,18553,9890,0.3461092143,2.184137501,1.164292561,11027.03368
weekly,2026-02-06,procurement,,국내생산,160565386.4,0.4070652429,70,10252,90739,39513,0.2658487335,2.352989488,1.024627488,4163.685586
weekly,2026-02-06,procurement,,국내소싱,106556426,0.2701417684,35,10847,50387,28314,0.7603738977,3.532124973,1.984809306,7469.597581
weekly,2026-02-06,procurement,,직소싱,33656156,0.08532506055,11,5010,12955,9561,2.015347917,5.211343766,3.846056175,13538.69539
weekly,2026-02-06,subcategory,Tech,충전패드,5232000,0.01326416234,2,0,1800,300,0,8.256880734,1.376146789,24000
weekly,2026-02-06,subcategory,Stationery,다이어리,55471996,0.1406325612,9,4396,26861,10508,0.4244698435,2.593649788,1.014633557,5356.276037
weekly,2026-02-06,subcategory,Drinkware,텀블러,21938139,0.05561755295,4,350,5620,2311,0.09959358627,1.599188442,0.6576022225,6242.56554
weekly,2026-02-06,subcategory,Lifestyle,캠핑,44479010,0.1127631516,4,0,400,300,0,0.1246162036,0.09346215267,13857.01341
weekly,2026-02-06,subcategory,Lifestyle,미분류,18406905,0.04666517126,1,0,0,0,0,0,0,15455
weekly,2026-02-06,subcategory,Kit Package,슬리브박스,17335754,0.04394959007,3,246,3996,1746,0.05010573888,0.813912734,0.3556285369,3530.978712
weekly,2026-02-06,subcategory,Lifestyle,구강가전,19304112,0.04893976975,1,500,1602,700,0.2166377816,0.6941074523,0.3032928943,8364
weekly,2026-02-06,subcategory,Tech,배터리,2519670,0.006387865427,4,1282,5554,2372,3.610666301,15.64246539,6.680577586,7096.480154
weekly,2026-02-06,subcategory,Awards & Recognition,트로피,13373500,0.03390448681,2,500,1502,734,0.1308557969,0.3930908139,0.1920963099,3500
weekly,2026-02-06,subcategory,Lifestyle,우산,15752520,0.03993577647,2,2400,5670,4320,1.212605236,2.864779869,2.182689424,7958.995094
weekly,2026-02-06,subcategory,Tech,건강가전,19430320,0.04925973217,2,0,590,170,0,0.6674208145,0.1923076923,21980
weekly,2026-02-06,subcategory,Drinkware,보틀,13755600,0.03487318643,5,1700,3321,2551,0.6593077744,1.287977129,0.9893494897,5334.808248
weekly,2026-02-06,subcategory,Bag&pouch,하드케이스 파우치,21603646,0.05476954656,4,947,2912,1147,0.1876484819,0.5770141281,0.2272785731,4280.772308
weekly,2026-02-06,subcategory,Lifestyle,타월,12356510.4,0.03132621557,2,200,6107,2816,0.05078659796,1.550768769,0.7150752993,3137.72563
weekly,2026-02-06,subcategory,Lifestyle,골프,6432915,0.01630872111,1,0,310,0,0,0.2489959839,0,5167
weekly,2026-02-06,subcategory,Tech,PC/ 노트북 악세사리,15306892,0.03880602071,5,2380,7612,5581,0.7437124188,2.378629803,1.743974374,4783.162048
weekly,2026-02-06,subcategory,Tech,계절가전,5977724,0.01515472124,2,0,80,0,0,0.06754779933,0,5047.276265
weekly,2026-02-06,subcategory,Stationery,노트,13085988,0.03317558661,8,650,3794,850,0.09743370071,0.5687130162,0.1274133009,1961.563444
weekly,2026-02-06,subcategory,Stationery,메모패드,5630976,0.01427564598,3,0,3935,1820,0,2.676436953,1.237894601,3829.975158
weekly,2026-02-06,subcategory,Drinkware,리유저블컵,5470200,0.01386804679,4,200,1844,600,0.06060163301,0.5587470564,0.181804899,1657.515265
weekly,2026-02-06,subcategory,Stationery,펜,21767235,0.05518427726,13,6140,37482,21249,0.3330268708,2.032982601,1.152522472,1180.63097
weekly,2026-02-06,subcategory,Tech,충전기,8908618,0.02258512143,3,518,3953,2243,1.005519764,7.673396964,4.354017048,17293.03373
weekly,2026-02-06,subcategory,Lifestyle,여권케이스,3198000,0.008107567116,1,150,880,650,0.1923076923,1.128205128,0.8333333333,4100
weekly,2026-02-06,subcategory,Lifestyle,모바일 악세사리,2804076,0.007108891297,2,600,2200,1400,0.3436426117,1.26002291,0.8018327606,1606
weekly,2026-02-06,subcategory,Stationery,포스트잇,6379450,0.01617317668,5,350,4356,2450,0.1320038654,1.642882393,0.9240270577,2406.034454
weekly,2026-02-06,subcategory,Lifestyle,명함지갑,3326130,0.008432402192,1,100,1400,550,0.157480315,2.204724409,0.8661417323,5238
weekly,2026-02-06,subcategory,Fragrance,샤쉐,2032291,0.005152262565,4,1200,7382,3900,0.6150785274,3.783758075,1.999005214,1041.68213
weekly,2026-02-06,subcategory,Drinkware,머그컵,1377500,0.00349223693,1,0,900,200,0,1.633393829,0.3629764065,2500
weekly,2026-02-06,subcategory,Lifestyle,구강관리,2155200,0.005463861366,1,370,4045,1495,0.274684484,3.002969562,1.109873794,1600
weekly,2026-02-06,subcategory,Tech,시계,1690500,0.004285754287,1,60,630,240,0.1739130435,1.826086957,0.6956521739,4900
weekly,2026-02-06,subcategory,Lifestyle,도시락,1342384,0.003403210874,1,0,0,0,0,0,0,1583
