period_unit,period_key,parts_no,parts_name,category,sub_category,procurement_type,production_type,sourcing_type,sales_status,is_managed,inv_qty,unit_price,inv_amount,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,stockout_start,stockout_days,last_issue_date,last_issue_summary,서브카테고리,inv_1m_avg,inv_3m_avg,inv_ytd_avg
weekly,2026-02-06,PT4710,PT4710-브릭스탠드멀티충전스테이션_화이트,Tech,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,218,24000,5232000,0,900,150,0,4.128440367,0.6880733945,,0,,,충전패드,5232000,5232000,5232000
weekly,2026-02-06,PT4883,PT4883-시그니처다이어리(2합)_라이트그레이,Stationery,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,3945,6420,25326900,150,3701,1250,0.03802281369,0.9381495564,0.3168567807,,0,,,다이어리,25326900,25326900,25326900
weekly,2026-02-06,PT0878,PT0878-매트블랙텀블러_블랙,Drinkware,Product Parts,국내생산,국내생산,해당없음,일시품절,Y,153,7110,1087830,250,5360,2211,1899-12-31,35.03267974,1900-01-13,2026-02-06,0,,,텀블러,1087830,1087830,1087830
weekly,2026-02-06,PT2268,PT2268-레더라벨캠핑체어(세트_본품및파우치)_베이지,Lifestyle,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,1234,15915,19639110,0,0,0,0,0,0,,0,,,캠핑,19639110,19639110,19639110
weekly,2026-02-06,PT2741,PT2741-슈가케인텀블러(360ml)_크림,Drinkware,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,3067,6327,19404909,100,100,100,0.03260515161,0.03260515161,0.03260515161,,0,,,텀블러,19404909,19404909,19404909
weekly,2026-02-06,PT2826,PT2826-아쿠아스노클링마스크(세트_본품및파우치),Lifestyle,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,1191,15455,18406905,0,0,0,0,0,0,,0,,,미분류,18406905,18406905,18406905
weekly,2026-02-06,PT3343,PT3343-펄프박스_리드_그레이,Kit Package,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,4708,3605,16972340,82,1332,582,0.01741716228,0.2829226848,0.1236193713,,0,,,슬리브박스,16972340,16972340,16972340
weekly,2026-02-06,PT3325,PT3325-리마커블UV칫솔살균기(C타입),Lifestyle,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,2308,8364,19304112,500,1602,700,0.2166377816,0.6941074523,0.3032928943,,0,,,구강가전,19304112,19304112,19304112
weekly,2026-02-06,PT4696,PT4696-킵세이프마그넷배터리2.0,Tech,Product Parts,국내소싱,해외생산,국내소싱,일시품절,Y,0,9000,0,382,3212,1162,1899-12-30,0,1899-12-30,2026-02-06,0,,,배터리,0,0,0
weekly,2026-02-06,PT4886,PT4886-챔피언피규어시상대세트(시상대),Awards & Recognition,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,3821,3500,13373500,250,751,367,0.06542789846,0.196545407,0.09604815493,,0,,,트로피,13373500,13373500,13373500
weekly,2026-02-06,PT2243,PT2243-레더라벨캠핑체어(세트_본품및파우치)_블랙,Lifestyle,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,683,15000,10245000,0,0,0,0,0,0,,0,,,캠핑,10245000,10245000,10245000
weekly,2026-02-06,PT2832,PT2832-올웨이즈양우산(세트_본품및케이스)_블랙,Lifestyle,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,1706,8120,13852720,250,2590,1490,0.1465416178,1.518171161,0.8733880422,,0,,,우산,13852720,13852720,13852720
weekly,2026-02-06,PT4722,PT4722-오아시스미니마사지건_블랙,Tech,Product Parts,직소싱,해외생산,직소싱,판매가능,Y,502,21980,11033960,0,220,100,0,0.438247012,0.1992031873,,0,,,건강가전,11033960,11033960,11033960
weekly,2026-02-06,PT1239,PT1239-슬로건다이어리_블랙,Stationery,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,3020,4323,13055460,550,3670,1770,0.1821192053,1.215231788,0.5860927152,,0,,,다이어리,13055460,13055460,13055460
weekly,2026-02-06,PT2242,PT2242-포터블캠핑롤테이블(세트_본품및파우치)_블랙,Lifestyle,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,900,9406,8465400,0,300,300,0,0.3333333333,0.3333333333,,0,,,캠핑,8465400,8465400,8465400
weekly,2026-02-06,PT1707,PT1707-페이머스캡슐보틀(에코젠)_아이보리,Drinkware,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,1675,4200,7035000,0,0,0,0,0,0,,0,,,보틀,7035000,7035000,7035000
weekly,2026-02-06,PT4721,PT4721-오아시스미니마사지건_화이트,Tech,Product Parts,직소싱,해외생산,직소싱,판매가능,Y,382,21980,8396360,0,370,70,0,0.9685863874,0.1832460733,,0,,,건강가전,8396360,8396360,8396360
weekly,2026-02-06,PT2969,PT2969-메시지캐리어파우치_실버,Bag&pouch,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,1476,5400,7970400,200,200,200,0.135501355,0.135501355,0.135501355,,0,,,하드케이스 파우치,7970400,7970400,7970400
weekly,2026-02-06,PT3331,PT3331-테크미니파우치,Bag&pouch,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,3467,2138,7412446,600,1284,600,0.1730602827,0.3703490049,0.1730602827,,0,,,하드케이스 파우치,7412446,7412446,7412446
