period_unit,period_key,group_type,parent_group,group_name,inv_amount,inv_ratio,sku_count,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,weighted_avg_unit_price
weekly,2026-01-02,category,,Drinkware,41956925,0.1001526191,14,3412,13566,3412,0.4385168245,1.7435285,0.4385168245,5392.38497
weekly,2026-01-02,category,,Stationery,89515498,0.2136765641,51,29942,126094,29942,1.370291045,5.770672599,1.370291045,4096.663057
weekly,2026-01-02,category,,Fragrance,502009,0.001198312702,5,3102,11273,3102,3.140981592,11.41466328,3.140981592,508.3175461
weekly,2026-01-02,category,,Kit Package,21244117,0.05071043595,10,1800,6800,1800,0.2818283975,1.064685057,0.2818283975,3326.219695
weekly,2026-01-02,category,,Tech,72691766,0.1735177388,19,6666,22959,6666,1.268437684,4.368745991,1.268437684,13832.1295
weekly,2026-01-02,category,,Lifestyle,122547110,0.2925241549,22,7811,33414,7811,0.6764166638,2.893584228,0.6764166638,10612.3297
weekly,2026-01-02,category,,Bag&pouch,42395142,0.1011986581,7,1910,6975,1910,0.5093437373,1.860037993,0.5093437373,11305.60213
weekly,2026-01-02,category,,Figure,14081236,0.03361239332,2,0,0,0,0,0,0,4401.890595
weekly,2026-01-02,category,,Awards & Recognition,13961500,0.03332657938,2,234,2270,234,0.05866131863,0.5690649286,0.05866131863,3500
weekly,2026-01-02,category,,Wine,34580,0.00008254364609,1,0,0,0,0,0,0,380
weekly,2026-01-02,sub_category,,Product Parts,418929883,1,133,54877,223351,54877,1.113172048,4.530642892,1.113172048,8497.932387
weekly,2026-01-02,sourcing,,국내소싱,92838544,0.1685842184,41,18140,67202,18140,1.641790844,6.082228684,1.641790844,8402.5067
weekly,2026-01-02,sourcing,,해당없음,280270863,0.5089399548,215,67884,294601,67884,0.7612570684,3.303681186,0.7612570684,3142.981785
weekly,2026-01-02,sourcing,,중개소싱,118995947,0.2160830821,18,7300,27828,7300,0.6984988222,2.662715784,0.6984988222,11386.09984
weekly,2026-01-02,sourcing,,직소싱,58589989,0.1063927446,17,12048,32215,12048,2.462892531,6.585498249,2.462892531,11977.16188
weekly,2026-01-02,production,,해외생산,270424480,0.4910600452,76,37488,127245,37488,1.454174182,4.935883317,1.454174182,10489.87135
weekly,2026-01-02,production,,국내생산,280270863,0.5089399548,215,67884,294601,67884,0.7612570684,3.303681186,0.7612570684,3142.981785
weekly,2026-01-02,procurement,,국내소싱,91124024,0.2175161708,36,16415,59726,16415,1.538032085,5.59613185,1.538032085,8538.024528
weekly,2026-01-02,procurement,,국내생산,159965813,0.3818438825,72,27261,127290,27261,0.7832917959,3.657430494,0.7832917959,4596.306407
