파츠번호,년월,판매수량,품절주수
PT2833,2025-07,300,0
PT2833,2025-09,200,0
PT2833,2025-11,500,0
PT2833,2026-02,130,0
PT2833,2026-03,210,0
PT3360,2025-07,200,0
PT3360,2025-08,100,0
PT3360,2025-11,200,0
PT3360,2025-12,250,0
PT3360,2026-03,250,0
PT3360,2026-04,200,0
PT3360,2026-06,300,0
PT4886,2025-07,13,0
PT4886,2025-08,491,0
PT4886,2025-09,240,0
PT4886,2025-10,332,0
PT4886,2025-11,634,0
PT4886,2025-12,384,0
PT4886,2026-01,117,0
PT4886,2026-02,250,0
PT4886,2026-03,50,0
PT4886,2026-04,130,0
PT4886,2026-05,86,0
PT4886,2026-06,72,0
PT4886,2026-07,443,0
PT4888,2025-07,13,0
PT4888,2025-08,491,0
PT4888,2025-09,240,0
PT4888,2025-10,332,0
PT4888,2025-11,634,0
PT4888,2025-12,384,0
PT4888,2026-01,117,0
PT4888,2026-02,250,0
PT4888,2026-03,50,0
PT4888,2026-04,130,0
PT4888,2026-05,92,0
PT4888,2026-06,72,0
PT4888,2026-07,443,0
PT4890,2025-07,13,0
PT4890,2025-08,491,0
PT4890,2025-09,240,0
PT4890,2025-10,332,0
PT4890,2025-11,634,0
PT4890,2025-12,384,0
PT4890,2026-01,117,0
PT4890,2026-02,250,0
PT4890,2026-03,50,0
PT4890,2026-04,130,0
PT4890,2026-05,92,0
PT4890,2026-06,72,0
PT4890,2026-07,443,0
PT4902,2025-08,371,0
PT4902,2025-09,300,0
PT4902,2025-10,255,0
PT4902,2025-11,140,0
PT4902,2025-12,128,0
PT4902,2026-01,480,0
PT4902,2026-02,60,0
PT4902,2026-03,150,0
PT4902,2026-04,50,0
PT4902,2026-05,50,0
PT4902,2026-06,375,0
PT4903,2025-08,371,0
PT4903,2025-09,300,0
PT4903,2025-10,255,0
PT4903,2025-11,140,0
PT4903,2025-12,128,0
PT4903,2026-01,480,0
PT4903,2026-02,60,0
PT4903,2026-03,150,0
PT4903,2026-04,50,0
PT4903,2026-05,50,0
PT4903,2026-06,375,0
PT4954,2025-07,13,0
PT4954,2025-08,491,0
PT4954,2025-09,240,0
PT4954,2025-10,332,0
PT4954,2025-11,634,0
PT4954,2025-12,384,0
PT4954,2026-01,117,0
PT4954,2026-02,250,0
PT4954,2026-03,50,0
PT4954,2026-04,130,0
PT4954,2026-05,86,0
PT4954,2026-06,72,0
PT4954,2026-07,443,0
PT4904,2025-08,371,0
PT4904,2025-09,300,0
PT4904,2025-10,255,0
PT4904,2025-11,140,0
PT4904,2025-12,128,0
PT4904,2026-01,480,0
PT4904,2026-02,60,0
PT4904,2026-03,150,0
PT4904,2026-04,50,0
PT4904,2026-05,50,0
PT4904,2026-06,375,0
PT4957,2025-07,13,0
PT4957,2025-08,491,0
PT4957,2025-09,240,0
PT4957,2025-10,332,0
PT4957,2025-11,634,0
PT4957,2025-12,384,0
PT4957,2026-01,117,0
PT4957,2026-02,250,0
PT4957,2026-03,50,0
PT4957,2026-04,130,0
PT4957,2026-05,92,0
PT4957,2026-06,72,0
PT4957,2026-07,443,0
PT2228,2025-07,50,0
PT2228,2025-08,405,0
PT2228,2025-09,830,0
PT2228,2025-11,100,0
PT2228,2026-01,855,1
PT2228,2026-02,270,4
PT2228,2026-03,0,2
PT2228,2026-06,500,0
PT2228,2026-07,50,0
PT2231,2025-07,50,0
PT2231,2025-08,405,0
PT2231,2025-09,830,0
PT2231,2025-11,100,0
PT2231,2026-01,855,0
PT2231,2026-02,270,0
PT2231,2026-06,500,0
PT2231,2026-07,50,0
PT2969,2025-01,0,4
PT2969,2025-02,0,4
PT2969,2025-03,0,4
PT2969,2025-04,0,4
PT2969,2025-05,0,5
PT2969,2025-06,0,4
PT2969,2025-07,940,2
PT2969,2025-08,100,0
PT2969,2025-09,50,0
PT2969,2025-10,685,0
PT2969,2025-11,1510,0
PT2969,2026-02,200,0
PT2969,2026-03,200,0
PT2969,2026-04,450,0
PT2969,2026-05,360,0
PT2969,2026-06,520,0
PT2970,2025-05,0,3
PT2970,2025-06,0,4
PT2970,2025-07,0,4
PT2970,2025-08,0,4
PT2970,2025-09,660,0
PT2970,2025-10,200,0
PT2970,2025-11,100,0
PT2970,2025-12,221,0
PT2970,2026-02,147,0
PT2970,2026-05,300,0
PT2970,2026-06,260,3
PT2970,2026-07,0,3
PT3331,2025-06,200,0
PT3331,2025-07,2050,0
PT3331,2025-08,3300,0
PT3331,2025-09,1650,0
PT3331,2025-10,1880,0
PT3331,2025-11,1190,0
PT3331,2025-12,684,0
PT3331,2026-02,600,0
PT3331,2026-03,1710,0
PT3331,2026-04,1700,0
PT3331,2026-05,400,0
PT3331,2026-06,300,0
PT3353,2025-07,350,0
PT3353,2025-08,230,0
PT3353,2025-09,390,0
PT3353,2025-10,800,0
PT3353,2025-11,300,0
PT3353,2025-12,860,3
PT3353,2026-01,200,1
PT3353,2026-03,200,0
PT3353,2026-04,100,2
PT3353,2026-05,0,4
PT3353,2026-06,0,3
PT3353,2026-07,62,0
PT1679,2025-01,100,0
PT1679,2025-06,150,0
PT1679,2025-07,900,0
PT1679,2025-08,676,0
PT1679,2025-10,100,0
PT1679,2025-11,300,0
PT1679,2026-01,100,0
PT1679,2026-02,1060,0
PT1679,2026-04,252,0
PT1679,2026-05,120,0
PT1679,2026-06,401,0
PT1679,2026-07,100,0
PT2827,2025-06,200,0
PT2827,2025-07,200,0
PT2827,2025-08,100,0
PT2827,2025-09,350,0
PT2827,2025-12,600,0
PT2827,2026-01,100,0
PT2827,2026-03,300,0
PT2827,2026-05,2000,0
PT2827,2026-06,450,0
PT2827,2026-07,100,0
PT2828,2025-06,900,0
PT2828,2025-07,1400,0
PT2828,2025-08,1240,0
PT2828,2025-09,3100,0
PT2828,2025-10,450,0
PT2828,2025-11,870,0
PT2828,2025-12,1139,0
PT2828,2026-01,450,0
PT2828,2026-02,700,0
PT2828,2026-03,400,0
PT2828,2026-04,1462,0
PT2828,2026-05,1760,0
PT2828,2026-06,1946,0
PT2828,2026-07,1700,0
PT3193,2025-05,600,0
PT3193,2025-06,260,0
PT3193,2025-08,170,0
PT3193,2025-09,557,0
PT3193,2025-10,850,0
PT3193,2025-11,1050,0
PT3193,2025-12,1012,0
PT3193,2026-01,200,0
PT3193,2026-03,100,0
PT3193,2026-05,50,0
PT3193,2026-06,100,0
PT3193,2026-07,40,0
PT0493,2025-07,50,0
PT0493,2025-08,160,0
PT0493,2025-09,360,0
PT0493,2025-10,150,0
PT0493,2025-11,243,0
PT0493,2025-12,110,0
PT0493,2026-01,160,0
PT0493,2026-03,730,0
PT0493,2026-04,512,0
PT0493,2026-05,881,0
PT0493,2026-06,1122,0
PT0761,2025-07,300,0
PT0761,2025-09,350,0
PT0761,2025-10,300,0
PT0761,2025-11,63,0
PT0761,2026-03,594,0
PT0761,2026-05,100,0
PT0761,2026-07,50,0
PT0874,2025-06,20,0
PT0874,2025-07,460,0
PT0874,2025-08,50,0
PT0874,2025-09,760,0
PT0874,2025-11,940,0
PT0874,2025-12,869,0
PT0874,2026-01,451,0
PT0874,2026-02,200,0
PT0874,2026-03,705,0
PT0874,2026-04,350,0
PT0874,2026-05,200,0
PT0874,2026-06,672,0
PT0874,2026-07,100,0
PT0878,2025-04,100,0
PT0878,2025-06,473,0
PT0878,2025-07,1160,0
PT0878,2025-08,400,0
PT0878,2025-09,1485,0
PT0878,2025-10,250,0
PT0878,2025-11,2141,0
PT0878,2025-12,3149,0
PT0878,2026-01,1961,0
PT0878,2026-02,250,1
PT0878,2026-03,1305,0
PT0878,2026-04,650,0
PT0878,2026-05,705,0
PT0878,2026-06,1522,0
PT0878,2026-07,401,0
PT0901,2025-07,400,0
PT0901,2025-10,500,0
PT0901,2025-11,100,0
PT0901,2025-12,700,0
PT0901,2026-01,200,0
PT0901,2026-03,144,0
PT0901,2026-05,100,0
PT0901,2026-06,100,1
PT1705,2025-07,200,0
PT1705,2025-10,300,0
PT1705,2026-04,100,0
PT1705,2026-06,200,0
PT1707,2025-07,200,0
PT1707,2025-10,300,0
PT1707,2026-04,100,0
PT1707,2026-06,200,0
PT1730,2025-08,280,0
PT1730,2025-10,100,0
PT1730,2025-11,100,0
PT1730,2026-01,100,0
PT1733,2025-08,280,0
PT1733,2025-09,100,0
PT1733,2025-10,100,0
PT1733,2025-11,100,0
PT1733,2026-01,100,0
PT2077,2025-06,350,0
PT2077,2025-07,1104,0
PT2077,2025-08,800,0
PT2077,2025-09,130,0
PT2077,2025-11,520,0
PT2077,2025-12,572,0
PT2077,2026-01,200,0
PT2077,2026-02,100,0
PT2077,2026-03,754,0
PT2077,2026-05,720,0
PT2077,2026-06,550,0
PT2077,2026-07,100,0
PT2078,2025-11,120,0
PT2078,2025-12,100,0
PT2079,2025-06,350,0
PT2079,2025-07,1104,0
PT2079,2025-08,800,0
PT2079,2025-09,130,0
PT2079,2025-11,400,0
PT2079,2025-12,472,0
PT2079,2026-01,200,0
PT2079,2026-02,100,0
PT2079,2026-03,754,0
PT2079,2026-05,720,0
PT2079,2026-06,550,0
PT2079,2026-07,100,0
PT2080,2025-12,100,0
PT2106,2025-06,350,0
PT2106,2025-07,404,0
PT2106,2025-08,800,0
PT2106,2025-11,220,0
PT2106,2025-12,180,0
PT2106,2026-01,100,0
PT2106,2026-02,100,0
PT2106,2026-03,100,0
PT2106,2026-05,500,0
PT2106,2026-06,550,0
PT2741,2025-04,0,4
PT2741,2025-05,0,5
PT2741,2025-06,0,2
PT2741,2025-07,2500,0
PT2741,2025-08,300,0
PT2741,2025-09,100,0
PT2741,2025-10,100,0
PT2741,2025-11,100,1
PT2741,2025-12,0,4
PT2741,2026-01,0,5
PT2741,2026-02,100,0
PT2741,2026-03,300,0
PT2741,2026-05,100,0
PT2742,2025-02,0,2
PT2742,2025-03,0,4
PT2742,2025-04,0,4
PT2742,2025-05,0,5
PT2742,2025-06,0,2
PT2742,2025-07,1060,0
PT2742,2025-08,100,0
PT2817,2025-06,100,0
PT2817,2025-07,721,0
PT2817,2025-08,700,0
PT2817,2025-09,450,0
PT2817,2025-10,975,0
PT2817,2025-12,470,0
PT2817,2026-01,621,0
PT2817,2026-02,300,0
PT2817,2026-03,680,1
PT2817,2026-04,0,5
PT2817,2026-05,0,1
PT2824,2025-06,1030,0
PT2824,2025-07,770,0
PT2824,2025-08,676,0
PT2824,2025-09,664,0
PT2824,2025-10,975,0
PT2824,2025-11,280,0
PT2824,2025-12,620,0
PT2824,2026-01,471,0
PT2824,2026-02,1630,0
PT2824,2026-03,760,0
PT2824,2026-04,120,0
PT2824,2026-05,55,0
PT2824,2026-06,250,0
PT2824,2026-07,50,0
PT3400,2025-01,0,5
PT3400,2025-02,0,4
PT3400,2025-03,0,4
PT3400,2025-04,0,4
PT3400,2025-05,0,1
PT3400,2025-07,50,0
PT3400,2025-08,80,0
PT3400,2025-09,30,0
PT3400,2025-11,283,0
PT3400,2025-12,70,0
PT3400,2026-01,210,0
PT3400,2026-03,50,0
PT3400,2026-04,212,0
PT3400,2026-05,50,0
PT3401,2025-01,0,5
PT3401,2025-02,0,4
PT3401,2025-03,0,4
PT3401,2025-08,50,0
PT3401,2025-09,130,0
PT3401,2025-10,100,0
PT3401,2026-01,30,0
PT3401,2026-03,205,0
PT3401,2026-04,70,0
PT3401,2026-06,100,0
PT3854,2025-02,0,4
PT3854,2025-03,0,1
PT3854,2025-06,1000,3
PT3854,2025-07,0,4
PT3854,2025-08,1426,0
PT3854,2025-09,184,0
PT3854,2025-11,290,0
PT3854,2025-12,300,0
PT3854,2026-01,100,0
PT3854,2026-02,510,0
PT3854,2026-03,300,0
PT3854,2026-04,205,3
PT3854,2026-05,55,1
PT3854,2026-06,400,0
PT3854,2026-07,50,0
PT3855,2025-04,0,1
PT3855,2025-05,0,5
PT3855,2025-06,0,4
