period_unit,period_key,parts_no,parts_name,category,sub_category,procurement_type,production_type,sourcing_type,sales_status,is_managed,inv_qty,unit_price,inv_amount,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,stockout_start,stockout_days,last_issue_date,last_issue_summary,서브카테고리,inv_1m_avg,inv_3m_avg,inv_ytd_avg,is_first_order,is_new_product,season_type
weekly,2026-01-02,PT3855,PT3855-미스트워터보틀_다크그레이,Drinkware,Product Parts,국내소싱,해외생산,국내소싱,일시품절,Y,0,3200,0,0,0,0,0,0,0,2026-01-02,0,,,보틀,0,0,0,N,N,
weekly,2026-01-02,PT1197,PT1197-스펙트럼컬러펜(블랙잉크)_화이트,Stationery,Product Parts,국내소싱,해외생산,국내소싱,품절예정,Y,0,864,0,5602,11979,5602,0,0,0,,0,,,펜,0,0,0,N,N,
weekly,2026-01-02,PT1800,PT1800-샤쉐향(화이트타임/구화이트티앤타임),Fragrance,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,0,1300,0,850,1595,850,1899-12-30,0,1899-12-30,,0,,,샤쉐,0,0,0,N,N,
weekly,2026-01-02,PT2841,PT2841-리갈패드_옐로우,Stationery,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,0,509,0,710,2383,710,0,0,0,,0,,,메모패드,0,0,0,N,N,
weekly,2026-01-02,PT4882,PT4882-시그니처다이어리(2합)_블랙,Stationery,Product Parts,국내생산,국내생산,해당없음,일시품절,Y,0,5900,0,1150,8937,1150,0,0,0,2026-01-02,0,,,다이어리,0,0,0,N,N,겨울
weekly,2026-01-02,PT1493,PT1493-오픈박스(스탠다드)(Small)_화이트_100-4,Figure,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,0,525,0,1385,5868,1385,0,0,0,,0,,,미분류,0,0,0,N,N,
weekly,2026-01-02,PT2472,PT2472-트리플컬러펜_블랙,Stationery,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,280,3800,1064000,300,1620,300,1.071428571,5.785714286,1.071428571,,0,,,펜,1064000,1064000,1064000,N,N,
weekly,2026-01-02,PT0859,PT0859-리유저블캘린더_밴드_그레이,Stationery,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,1851,120,222120,3403,7679,3403,1.838465694,4.148568341,1.838465694,,0,,,미분류,222120,222120,222120,N,N,
weekly,2026-01-02,PT3345,PT3345-띠지밴드_그레이,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,330,100,33000,500,1600,500,1899-12-31,4.848484848,1899-12-31,,0,,,미분류,33000,33000,33000,N,N,
weekly,2026-01-02,PT0403,PT0403-바스켓_리드_오트밀,Kit Package,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,162,1300,210600,0,0,0,0,0,0,,0,,,플라스틱 박스,210600,210600,210600,N,N,
weekly,2026-01-02,PT4093,PT4093-프라임폴더블멀티충전기_다크그레이,Tech,Product Parts,국내소싱,해외생산,국내소싱,일시품절,Y,0,36000,0,330,744,330,0,0,0,2026-01-02,0,,,충전기,0,0,0,N,N,
weekly,2026-01-02,PT4764,PT4764-단품박스(전용)_화이트,Tech,Package Parts,국내소싱,해외생산,국내소싱,판매가능,Y,1186,0,0,1100,2830,1100,0,0,0,,0,,,미분류,0,0,0,N,Y,
weekly,2026-01-02,PT4766,PT4766-브랜디드타월_화이트,Lifestyle,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,0,3165,0,2016,7044,2016,0,0,0,,0,,,타월,0,0,0,N,Y,
weekly,2026-01-02,PT1236,PT1236-슬로건다이어리_그레이,Stationery,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,1004,4409,4426636,990,5428,990,0.9860557769,5.406374502,0.9860557769,,0,,,다이어리,4426636,4426636,4426636,N,N,겨울
weekly,2026-01-02,PT1239,PT1239-슬로건다이어리_블랙,Stationery,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,869,4323,3756687,1220,9070,1220,1.403912543,10.43728423,1.403912543,,0,,,다이어리,3756687,3756687,3756687,N,N,겨울
weekly,2026-01-02,PT2228,PT2228-브랜디드노트북백_블랙,Bag&pouch,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,839,16818,14110302,855,955,855,1.019070322,1.138259833,1.019070322,,0,,,노트북백,14110302,14110302,14110302,N,N,
weekly,2026-01-02,PT1201,PT1201-스펙트럼컬러펜(블랙잉크)_블랙,Stationery,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,1070,864,924480,1240,4570,1240,1.158878505,4.271028037,1.158878505,,0,,,펜,924480,924480,924480,N,N,
weekly,2026-01-02,PT4718,PT4718-밸류메모큐브(ver2)(비점착.S),Stationery,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,729,1000,729000,600,700,600,0.8230452675,0.9602194787,0.8230452675,,0,,,포스트잇,729000,729000,729000,N,N,
weekly,2026-01-02,PT3330,PT3330-칫솔케이스(커스텀인쇄)_투명,Lifestyle,Package Parts,국내소싱,해외생산,국내소싱,판매가능,Y,335,286,95810,625,4136,625,1.865671642,12.34626866,1.865671642,,0,,,미분류,95810,95810,95810,N,N,
weekly,2026-01-02,PT3856,PT3856-미스트워터보틀_더스티핑크,Drinkware,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,144,3550,511200,130,130,130,0.9027777778,0.9027777778,0.9027777778,,0,,,보틀,511200,511200,511200,N,N,
weekly,2026-01-02,PT4713,PT4713-브릭스탠드블록세트,Figure,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,2417,5000,12085000,0,0,0,0,0,0,,0,,,월드 오브 피규어,12085000,12085000,12085000,N,Y,
weekly,2026-01-02,PT0404,PT0404-바스켓_바디_오트밀,Kit Package,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,296,0,0,0,0,0,0,0,0,,0,,,플라스틱 박스,0,0,0,N,N,
weekly,2026-01-02,PT0548,PT0548-텀블러류지지박스_화이트_000-1,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,1187,157,186359,650,2582,650,1899-12-30,2.175231676,1899-12-30,,0,,,미분류,186359,186359,186359,N,N,
weekly,2026-01-02,PT1718,PT1718-샤쉐향(골든뱀부),Fragrance,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,229,1000,229000,400,1952,400,1.746724891,8.524017467,1.746724891,,0,,,샤쉐,229000,229000,229000,N,N,
weekly,2026-01-02,PT0400,PT0400-바스켓_리드_그레이,Kit Package,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,575,1300,747500,0,0,0,0,0,0,,0,,,플라스틱 박스,747500,747500,747500,N,N,
weekly,2026-01-02,PT1093,PT1093-유광덮개파우치_투명_000-3,Stationery,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,3152,223,702896,3630,8853,3630,1.151649746,2.808692893,1.151649746,,0,,,미분류,702896,702896,702896,N,N,
weekly,2026-01-02,PT0878,PT0878-매트블랙텀블러_블랙,Drinkware,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,1697,7110,12065670,1961,7251,1961,1.155568651,4.272834414,1.155568651,,0,,,텀블러,12065670,12065670,12065670,N,N,
weekly,2026-01-02,PT0580,PT0580-슬라이드지퍼백(커스텀인쇄)(Medium)_반투명_100-3,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,2139,458,979662,1400,4766,1400,0.654511454,2.228143993,0.654511454,,0,,,미분류,979662,979662,979662,N,N,
