파츠번호,재고귀속파츠번호,task_id,sync_item,과업지시상태,발주지시수량,과업지시일자,입하여부,입하수량,실제입하일(from. movement),공급가액,결제일(from. 지출결의),지출금액(vat 포함),지출결의비고,project,수주처,공급가액단가,입하예정일,,
PT2371,,PNA23522_0207_3101,STCK_PT2371-버티컬무선충전패드(15W)_화이트,발주진행완료,103,2024.2.7,,,,"875,500",2024.2.15,"963,050",,PNA23522-24년1월_재고생산,(주)데코컴퍼니,"8,500",,24년1월,
#N/A,,PNA23522_0102_3101,,발주진행완료,500,2024.1.3,,,,"4,250,000",2024.1.11,"4,675,000",,PNA23522-24년1월_재고생산,(주)데코컴퍼니,"8,500",2024.1.5,24년1월,
#N/A,,PNA23522_0103_3101,,발주진행완료,500,2024.1.3,,,,"4,250,000",2024.1.11,"4,675,000",,PNA23522-24년1월_재고생산,(주)데코컴퍼니,"8,500",2024.1.5,24년1월,
#N/A,,PNA23522_0103_3561,,발주진행완료,1500,2024.1.3,,,,"189,000",2024.2.19,"207,900",,PNA23522-24년1월_재고생산,주식회사 베러웨이시스템즈,126,2024.1.10,24년1월,
#N/A,,PNA23522_0109_1281,,발주진행완료,1000,2024.1.10,입하완료,,2024.1.11,"909,091",2024.2.16,"1,000,000",,PNA23522-24년1월_재고생산,엘바 (ELVA),909,2024.1.11,24년1월,
#N/A,,PNA23522_0112_1121,,발주진행완료,103,2024.1.12,입하완료,,2024.3.4,"198,790",2024.1.22,"218,669",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.16,24년1월,
#N/A,,PNA23522_0112_1151,,발주진행완료,103,2024.1.12,입하완료,,2024.3.4,"198,790",2024.1.22,"218,669",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.16,24년1월,
#N/A,,PNA23522_0112_1161,,발주진행완료,103,2024.1.12,입하완료,,2024.3.4,"198,790",2024.1.22,"218,669",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.16,24년1월,
#N/A,,PNA23522_0115_1181,,발주진행완료,353,2024.1.16,입하완료,,2024.3.4,"681,290",2024.1.22,"749,419",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.16,24년1월,
#N/A,,PNA23522_0102_0621,,발주진행완료,500,2024.9.3,입하완료,630,2024.1.12,"300,000",2024.2.19,"330,000",,PNA23522-24년1월_재고생산,(주)청산인쇄,600,2024.1.17,24년1월,
#N/A,,PNA23522_0102_2041,,발주진행완료,1000,2024.9.3,입하완료,1050,2024.1.10,"524,000",2024.2.19,"576,400",,PNA23522-24년1월_재고생산,(주)청산인쇄,524,2024.1.17,24년1월,
#N/A,,PNA23522_0102_0401,,발주진행완료,1000,2024.1.2,입하완료,1010,2024.1.16,"560,000",2024.1.11,"616,000",,PNA23522-24년1월_재고생산,착한포장,560,2024.1.17,24년1월,
#N/A,,PNA23522_0102_1191,,발주진행완료,1500,2024.1.2,입하완료,,2025.1.21,"2,895,000",2024.2.26,"3,184,500",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.18,24년1월,
#N/A,,PNA23522_0102_2151,,발주진행완료,1000,2024.1.3,입하완료,1080,2024.1.16,"1,130,000",2024.2.8,"1,243,000",,PNA23522-24년1월_재고생산,주식회사 팩토리비인쇄그룹,"1,130",2024.1.18,24년1월,
#N/A,,PNA23522_0111_3091,,발주진행완료,304,2024.1.11,입하완료,,2024.3.4,"5,389,091",2024.1.25,"5,928,000",,PNA23522-24년1월_재고생산,주식회사 블루윈,"17,727",2024.1.19,24년1월,
#N/A,,PNA23522_0116_1161,,발주진행완료,303,2024.1.17,,,,"584,790",2024.1.22,"643,269",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.19,24년1월,
#N/A,,PNA23522_0116_2911,,발주진행완료,3000,2024.1.16,,,,"1,636,364",2024.1.25,"1,800,000",,PNA23522-24년1월_재고생산,재영유통,545,2024.1.19,24년1월,
#N/A,,PNA23522_0116_1121,,발주진행완료,303,2024.1.16,,,,"584,790",2024.1.22,"643,269",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.19,24년1월,
#N/A,,PNA23522_0116_1151,,발주진행완료,303,2024.1.16,,,,"584,790",2024.1.22,"643,269",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.19,24년1월,
#N/A,,PNA23522_0104_2961,,발주진행완료,1000,2024.9.3,"입하완료, 입하완료",,"2024.1.18, 2024.1.18","750,000",2024.2.19,"825,000",,PNA23522-24년1월_재고생산,(주)청산인쇄,750,"2024.1.19, 2024.1.19",24년1월,
#N/A,,PNA23522_0102_3131,,발주진행완료,7000,2024.9.3,,,,"4,200,000",2024.2.19,"4,620,000",,PNA23522-24년1월_재고생산,(주)청산인쇄,600,2024.1.22,24년1월,
#N/A,,PNA23522_0102_3241,,발주진행완료,1000,2024.1.2,입하완료,1000,2024.1.18,"3,800,000",2024.1.11,"4,180,000",,PNA23522-24년1월_재고생산,미쓰비시연필한국판매 주식회사,"3,800",2024.1.22,24년1월,
