파츠명 (Long ver),굿즈 연결 현황 (from item),발주서명칭,1개_표준원가,50개_표준원가,100개_표준원가,300개_표준원가,500개_표준원가,1000개_표준원가,3000개_표준원가,5000개_표준원가,10000개_표준원가,30000개_표준원가,파츠 총 제작 리드타임_100개,파츠 총 제작 리드타임_300개,파츠 총 제작 리드타임_기본_500개,파츠 총 제작 리드타임_1000개,파츠 총 제작 리드타임_3000개,제작협력사,파츠 유형,파츠졸업 Status
PT0061-실크_1색_스탠딩포터블선풍기_브로스앤컴퍼니,,실크_1색,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT0103-실크_2색_스탠딩포터블선풍기_브로스앤컴퍼니,,실크_2색,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT0107-실크_1색_피크닉포터블스피커_브로스앤컴퍼니,,실크_1색,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT1904-색박(음각)_50x50_청산인쇄,에디트 캘린더,색박(음각),90000,1800,900,350,200,100,100,80,50,30,0,0,,0,0,,Printing Parts,
PT2617-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT2621-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,
PT2623-샘플(본제작과동일옵션),슬로건 다이어리,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,
PT2633-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT2628-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT2632-샘플(본제작과동일옵션),MiiR 텀블러,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,
PT2630-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT2650-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT2654-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,4,4,4,4,4,,Printing Parts,졸업 완료
PT2657-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT2658-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,5,5,5,5,5,,Printing Parts,졸업 완료
PT2645-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,졸업 완료
PT2667-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,
PT3473-리드타임조정(-8일),"웜업 스트링 후드집업, 슬로건 맨투맨",리드타임조정_1,,,,,,,,,,,-8,-8,-8,-8,-8,,Printing Parts,
PT3474-리드타임조정(-5일),"웜업 스트링 후드집업, 슬로건 맨투맨",리드타임조정_2,,,,,,,,,,,-5,-5,-5,-5,-5,,Printing Parts,
PT4611-비스포크_산출물(수익),비스포크,커스텀제작 요청사항,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Printing Parts,
PT5061-도안작업,"프레젠트 골프공 3구, 에디션 골프공 & 볼마커 6구 세트",,,,,,,,,,,,0,0,,0,0,,Printing Parts,
PT5277-UV_주식회사위즈프로(구.호언),,UV,32400,3000,2700,2617,2470,2435,2412,2410,2405,2402,7,7,9,14,1008,,Printing Parts,
PT5278-샘플(UV)_주식회사위즈프로(구.호언),어텐션 스포츠 보틀,샘플(UV),32400,,,,,,,,,,6,6,6,6,6,,Printing Parts,
PT5129-레이저각인_개별시안_(주)항소,"파카 조터 XL 볼펜, 파카 IM 만년필",레이저각인,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3,4,4,6,8,(주) 모나미,Printing Parts,
PT5130-레이저각인_동일시안_(주)항소,"파카 조터 XL 볼펜, 파카 IM 만년필",레이저각인,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,(주) 모나미,Printing Parts,
PT5132-샘플(레이저)_(주)항소,파카 조터 XL 볼펜,샘플(레이저),52000,52000,49500,47000,44500,42000,42000,42000,42000,42000,3,4,4,6,8,(주) 모나미,Printing Parts,
PT5133-샘플(레이저)_(주)항소,파카 IM 만년필,샘플(레이저),62000,62000,59000,56000,53000,50000,50000,50000,50000,50000,3,4,4,6,8,(주) 모나미,Printing Parts,
PT0964-실크_50x50_바캉스드라이백_한국코사,,실크,,0,0,0,0,0,0,0,0,0,0,0,,0,0,(주) 한국코사,Printing Parts,졸업 완료
PT0966-실크_130x200_바캉스드라이백_한국코사,,실크,,0,0,0,0,0,0,0,0,0,0,0,,0,0,(주) 한국코사,Printing Parts,졸업 완료
PT3930-실크_1색_손잡이_(주)루메나,스탠딩 휴대용 선풍기,실크_1색_손잡이,1455,1455,1455,1455,1455,1255,1255,1255,1255,1255,0,0,,0,0,(주)루메나,Printing Parts,
PT3931-실크_1색_손잡이+거치대_(주)루메나,스탠딩 휴대용 선풍기,실크_1색_손잡이+거치대,2910,2910,2910,2910,2910,2510,2510,2510,2510,2510,0,0,,0,0,(주)루메나,Printing Parts,
PT3935-샘플(실크)_1색_손잡이_(주)루메나,스탠딩 휴대용 선풍기,샘플(실크)_1색_손잡이,18240,,,,,,,,,,5,5,5,5,5,(주)루메나,Printing Parts,
PT3936-샘플(실크)_1색_손잡이+거치대_(주)루메나,스탠딩 휴대용 선풍기,샘플(실크)_1색_손잡이+거치대,19510,,,,,,,,,,5,5,5,5,5,(주)루메나,Printing Parts,
PT4305-샘플(스탠다드)_1색_전면_(주)명성,그래픽배너 대용량 보조배터리,샘플(그래픽배너 보조배터리_UV),29545,,,,,,,,,,1,1,1,1,1,(주)명성,Printing Parts,
PT4309-UV(스탠다드)_1색_전면_(주)명성,그래픽배너 대용량 보조배터리,UV(그래픽배너 보조배터리),20000,0,0,0,0,0,0,0,0,0,2,2,3,4,4,(주)명성,Printing Parts,
PT4659-실크_화이트1색_(주)명성,베이직 무선충전 마우스패드,실크_화이트1색,20000,0,0,0,0,0,0,0,0,0,2,2,2,5,10,(주)명성,Printing Parts,
PT4666-샘플(실크)_화이트1색_(주)명성,베이직 무선충전 마우스패드,샘플(실크)_화이트1색,20000,,,,,,,,,,3,3,3,3,3,(주)명성,Printing Parts,
PT1804-UV_4도_플레인USB_이삭반도체,,UV_4도,30000,600,0,0,0,0,0,0,0,0,0,0,,0,0,(주)뮤스트,Printing Parts,졸업 완료
PT1812-샘플(본제작과동일옵션),재고생산,샘플(본제작과동일옵션),33300,960,330,313,310,310,310,310,310,310,5,5,5,5,5,(주)뮤스트,Printing Parts,졸업 완료
PT1811-UV_1색_플레인USB_이삭반도체,,UV_1색,10000,200,0,0,0,0,0,0,0,0,0,0,,0,0,(주)뮤스트,Printing Parts,졸업 완료
PT2971-샘플(UV인쇄)_(주)이삭반도체,메시지 캐리어 파우치,샘플(UV인쇄),26673,,,,,,,,,,4,4,4,4,4,(주)뮤스트,Printing Parts,
PT2972-UV_(주)이삭반도체,메시지 캐리어 파우치,UV(메시지 캐리어 파우치),21273,2073,1673,1406,1353,1333,1333,1333,1333,1333,5,5,5,13,104,(주)뮤스트,Printing Parts,
PT0117-실크_그라운드쿠션체어_반디야,,실크,,0,0,0,0,0,0,0,0,0,0,0,,0,0,(주)반디야,Printing Parts,졸업 완료
PT0672-실크_화이트1색_전면_그라운드쿠션체어_반디야,,실크_화이트1색_전면,,0,0,0,0,0,0,0,0,0,0,0,,0,0,(주)반디야,Printing Parts,졸업 완료
PT0674-실크_화이트1색_후면_그라운드쿠션체어_반디야,,실크_화이트1색_후면,,0,0,0,0,0,0,0,0,0,0,0,,0,0,(주)반디야,Printing Parts,졸업 완료
PT2644-샘플(본제작과동일옵션),,샘플(본제작과동일옵션),,0,0,0,0,0,0,0,0,0,6,6,6,6,6,(주)반디야,Printing Parts,졸업 완료
PT1165-UV_4도_스트레치사원증홀더_상일씨앤씨,스트레치 사원증 홀더,UV(스트레치사원증홀더)_4도,800,800,800,800,800,800,800,800,800,800,0,0,,0,0,(주)상일씨앤씨,Printing Parts,
PT1169-샘플_4도_스트레치사원증홀더_상일씨앤씨,스트레치 사원증 홀더,샘플(샘플)_4도,9300,9300,9300,9100,8900,8400,8300,8200,7800,7800,5,5,5,5,5,(주)상일씨앤씨,Printing Parts,
PT4231-샘플(레이저)_전면_(주)쉔코리아,,샘플(베이직도킹형보조배터리_레이저),16180,4454,4090,4090,4090,3909,3909,3909,3909,3909,0,0,,0,0,(주)쉔코리아,Printing Parts,졸업 완료
PT4234-레이저각인_전면_(주)쉔코리아,,레이저(베이직도킹형보조배터리_전면),9090,364,0,0,0,0,0,0,0,0,-2,0,,0,0,(주)쉔코리아,Printing Parts,졸업 완료
PT4821-레이저각인_(주)쉔코리아,칠링패드 냉각선풍기,레이저각인,300,300,300,300,300,300,300,300,300,300,4,4,4,7,11,(주)쉔코리아,Printing Parts,
PT4825-샘플(레이저)_(주)쉔코리아,칠링패드 냉각선풍기,샘플(레이저),272,,,,,,,,,,4,4,4,4,4,(주)쉔코리아,Printing Parts,
PT5373-샘플(본제작과동일옵션)_(주)쉔코리아,스탠바이 빅팬선풍기,샘플(본제작과동일옵션),15060,,,,,,,,,,2,2,2,2,2,(주)쉔코리아,Printing Parts,
PT5374-UV_풀컬러_팬중앙_(주)쉔코리아,스탠바이 빅팬선풍기,UV_풀컬러_팬중앙,600,600,600,600,600,600,600,600,600,600,0,0,,0,0,(주)쉔코리아,Printing Parts,
PT5375-UV_풀컬러_손잡이_(주)쉔코리아,스탠바이 빅팬선풍기,UV_풀컬러_손잡이,600,600,600,600,600,600,600,600,600,600,0,0,,0,0,(주)쉔코리아,Printing Parts,
PT5376-UV_풀컬러_2곳(팬중앙+손잡이)_(주)쉔코리아,스탠바이 빅팬선풍기,UV_풀컬러_2곳(팬중앙+손잡이),1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,2,2,2,2,2,(주)쉔코리아,Printing Parts,
PT5389-샘플(레이저)_(주)쉔코리아,슬림 터보 선풍기,샘플(레이저),272,,,,,,,,,,3,3,3,3,3,(주)쉔코리아,Printing Parts,
