task_id,발주번호,project,산출물,산출물_옵션,고객주문수량,발주지시수량,대시보드,과업지시서,수주처,과업지시일자,입하예정일 (from movement_산출물),입하여부,지출결의,발주서 생성 요청 일시 _ test_수현,발주담당자,과업지시월,과업지시주
PNA38461_0715_6551,PO074622,PNA38461-26년7월_재고생산, manual,,,5000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=reccy4GS8Ou1lk22E&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074622.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/I7tWfIsizKCqIR5lZzJdKA/HsXl2KE4gA1jpFJxyFY7FyAAAS01JrTojODD4LgA2h4waZz-iog5voNB4Txr3haM4dFVKBGPXZRyS7y38Eznfgp2sZ8pgZ0ZO5jcVc6rzmnGdsSTINSwH-Zd-R2-PPCSSXLd5fhtskq_otqRXASYMOkWAZXx1E6TRo95vM7E7NumUu4WKMAYFZ5gfBTYIJeQ/u2FwsPD2_1z8BRhqYz_01L9vAxsx5UWfvm-eGh3np3o),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:52오전,김민정,07월,
PNA38461_0714_6551,PO074621,PNA38461-26년7월_재고생산,"color box , 17oz/503 Handle Tumbler(black) ",,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recREWusOTxbKixzv&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074621.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/eeG0uD3AOUr090Ql_CsxXQ/6fstWBssuxMQkyiEuCgCl71n0hlrY4Peh9-NeaC0f7HKrEK-0LBLKNO7pyUClYE0trrUHF5cZgeHUbs21YGWne3gopKp8IaoWHBGRhYpeSMzuGcX0RxoEr67vR8on54OvKqnASVzQeZWKXQxzf4ixfZjO3a0RsZ-uS6T7Te3KBM30pWIcZhVPQcCcZ5VjMdr/53DMefr3G_u-7t94WaL3fdMZroEybrVChihpBW_9Oww),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,"2026.8.6, 2026.8.6",,,2026.7.14 10:50오전,김민정,07월,
PNA38461_0714_6681,PO074618,PNA38461-26년7월_재고생산,17oz/503 Handle Tumbler(ivory) ,,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recBlZzFinJkJtdGw&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074618.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/88JEjWpNKrP4Rq-dVbwMyg/Ca6xbsA4I_7azt_9Rld6GcqBWUfgNdqj5f_HwghiYRmLI6kCfBzW8bqpc-FsqnX-t-upAS963LYKA3u2gtNQnp2X6JYV9QCv9iI4rQxMrDrTk4IEr9H8za1-52qfOn9aGmSrHHXp_o_9-9CR5cwr3aAZnQcpXvGhAKleIEGqv1nIumlPQT8fP9_xYCKBFN2j/Wnh-z30eTY9XkoCRX0p2OawBt2cRDi17acoLH0bz3W8),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:50오전,김민정,07월,
PNA38461_0714_6641,PO074619,PNA38461-26년7월_재고생산,"17oz/503 Tumbler (black), color box (91×91×183mm)",,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=recyw1TvcFpSL13oW&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074619.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/_KRMWpqpHrkVv_TNGYXteA/4B7i-aBAqGci-bA032bwHM4j0hrjdl8tgGaYip4s5AG1lXWMQGEni9rWkdOgD99aKgfrDEIGkpKHfef7hPzhbA_mOblr9HETB7WKaaQqHoUO-2AbVQHy0Gf7hvpjkey23ayemj2FuR3a0zrps2VD-zTorXMc_pKb8FLxhUxOvvQwKYafS-fb0DExLU6vkO4N/_FEPPKu51d9fUMY0CMzHFcp7u7F-cvXWcUP5G_oM5FM),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,"2026.8.6, 2026.8.6",,,2026.7.14 10:48오전,김민정,07월,
PNA38461_0714_6671,PO074620,PNA38461-26년7월_재고생산,17oz/503 Tumbler (ivory),,,1000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=reckLCvdQ0dEZjNLC&UvxrW=rec4WogVRSqKQWp14&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074620.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/1eY85VQjgTmhTtzCZCJZAw/arUHixyCEOzm8hrsVgaThRfGTfLa4Mg24xndxfTA19KWMTAQQWfk6BkwJaOJGsk50ieCSBfh9F7gRBlW6M5q3eGoCj89vsXLf7ds5jXWc-SL81XDjVUd1TTrKLPxs8YvWK_hO5Mwrcq9DQeVzMbcl7jeyB0ffHSD2AK5ZY7z4J_k9Sgrl48B6AeVfwL38Xa6/tmkgq2BdgpNq5pR9VOxrmh8MJEmbZKbkj06RMFwQdW4),"""Shanghai Ansheng insulation Technology Co.,Ltd""",2026.7.14,2026.8.6,,,2026.7.14 10:48오전,김민정,07월,
PNA38460_0617_6071,PO073871,PNA38460-26년6월_재고생산,블리스터,,,5000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recMk04LNhSjV69ci&UvxrW=rec6oRQRuqWT3vbrq&Aq5EA=recWjSn9z7PxgjTZy,Order_PNA38460_PO073871.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/9uf5I367iR0WjWQuC-1uzg/hAR-b0BDd568qqtECUCOK2EjS8oagwG2RDS_PaEac3csJtbhbLVDGEnkiLjFXovbsC0q3vBBbcwMf0evEqi_TQS1ZhDSOSOHBb6or1NW3KHM9WVuquWT3QlVWTYah3NDNZFthxjnaHUv9aFnlG7gPiunzRdA-10w8bxM6sj98aeGy90scxz2IDJHZzDOve_A/rrxxvDkVKLKuvnBiva2fraUqhvRDIvIB-g0XniIdrkg),"""Shenzhen Xin Hong Yang Packaging Products Co., Ltd.""",2026.7.2,2026.7.20,,,2026.7.2 9:14오전,김민정,07월,
PNA38461_0707_6651,PO074491,PNA38461-26년7월_재고생산,소프트그립블랙펜,,,5000,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=rec0cb8ETWJ1V0wGi&UvxrW=recQqLwE78gI7ocSA&Aq5EA=recdLBecYeOxUwCQb,Order_PNA38461_PO074491.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/H8Wz6B2kt4A1UF4BFyS-EQ/4EkP__sJLj0w3zh-67c-IRdFeq8WwkvlciFHRjSyNssnxQp8fqG_UWVhE82JZ1UTkj9FN3rjPAKse6CO-meHS4TIB0nnve4Z2Coh6Lr3WqlKFR_4tZqRA2HqWGZs22d-clsYRRBEXD_PBs21SHHbVzum1y2yY3ze9uaWODit4Xtw7XNxzusZOKhBCiH93k3V/hN3beqK3TTXNhaNo3Cskop61QRCs2YtPtZzqzZb9yNY),"""Tonglu Yaqi Stationery Co., Ltd.""",2026.7.10,2026.7.21,,,2026.7.10 11:06오전,김민정,07월,
PNA52953_모바일 오피스 파우치 2.0_A1,PO074665,PNA52953-한국지역아동센터연합회,모바일오피스파우치2.0(블랙),,90,92,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recMk04LNhSjV69ci&UvxrW=recdiJiG9Ogvle2l0&Aq5EA=recuzii7IB1UMgIhv,Order_PNA52953_PO074665.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/KMlUSvm6i1sJuNNkEN18jA/k4IsYn_qjgEVdfO1J-CGidLSzJj-T_Mu9pvGN9VGwwA65YMmeS0Ghxgo5gK8RrCpfgxE7aX_-C66lnXgnktgo9hkc608xMTHag2xmkwHm1HpNBvqpWs5gfY7Jqd95_RV4QdgrKrqlVae36is0hf_Qqd4F_4jk8-Z3ohFK_qYsNqe3Xd89oW2D9iqPjPuAh4B/nxEp_FV8Xvf8kGzCD0HEvsB0kwDO232G-4QmaJp-NPA),키멤버스,2026.7.16,2026.7.20,,,2026.7.16 9:35오전,김민정,07월,
PNA52206_임팩트 슬로건타월_A1,PO074397,PNA52206-유네스코한국위원회,임팩트슬로건타월,"임팩트슬로건타월, 승화전사, 샘플(본 제작과 동일옵션)","1200, 3",1210,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=rec72FKf1UZxoZ6Im&Aq5EA=recqP0Qh3I3F6trcO,"""Order_,PNA52206_ImpactSloganTowel.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/Z9A7Vy986hhKovoN3O3qyA/K3nHYZwLXI-2D9-Z-Pxo5maCWSTy3_Tm-skjYbYvGaC7rrmNGO0bxs5OJQiKicSEJOPNWJT8bzW_FHT_i1y38-I6eKBZcHohGBvMzm1c-zqUdzXOKT0Z1NCNRwTS6UmaHfnAwCyFro03QdDEbU5sv0f57tB8CqBHQcHuZ-X9JzUPR0CeHRdaUW1yX9wilJwg/tY8uTei96G1oHWrcA5cADuGIDT7B5gbCYhWsVlpoHdI)""",(주)승화파트너스,2026.7.3,"2026.7.8, 2026.8.7",입하완료,26.7.13-7.17_(주)승화파트너스,,김민지,07월,
PNA52675_프리미엄 스트링 후드집업_B1,PO074542,PNA52675-플러그링크,후드스트링(후드집업),"후드스트링, 실리콘",50,50,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recyVxxPNWslcKGkS&Aq5EA=recXwOzz4EvjmOyjc,"""Order_,PNA52675_HoodZipup_String.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/ya5CYrJ_aTAtrOgp22FZug/L36LIppaL8o1Ia6WN0o0RVcUfvioXDWF4h7neNZSiLSFiqq_jX2M94BHBoYveQ5xHyJg8uDEnl68J7M-Xsf85OTB6s-JITBBEhoioyRcy8OGUP_JaTbLGlLk9FGNE3KjWbFnI8mnxLWyT_2qzkHKzC9FsEKPNsZiMUkgsol3pN2wFSvwujDaRUK8ykzKH3Q0/h9T2Fc8RjsjWPOrhajrCQUdex1_qDmPR72CWG9jEjl8)""",(주)승화파트너스,2026.7.9,2026.7.27,,,,김민지,07월,
