Name,공지업무채널_슬랙미발송,파츠명,판매상태,담당자,판매상태 변경사유,적용 굿즈명,Goods code,변경일,end time,변경일(인터페이스용),end time(인터페이스용),parts_RECORD_ID (from 파츠명),newest record,판매상태 변경,Autonumber,담당자 이름,파츠 이름,확인 요청 사항,재고소유구분 (from sync_parts),품절 성격,품절 사유,파츠 유형 (from 파츠명),굿즈품절여부
SSU000026,,PT0388-단품박스(스탠다드)_화이트_000-15,판매가능,,정보 최초 입력,"핸디링 미니 선풍기, 에브리 폴더블 멀티충전기","HDRM, CHTW",2023.5.30 4:55오후,,2023.5.30,2026.9.3,recbXbrSfYagBEA6n,recbXbrSfYagBEA6n,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recbXbrSfYagBEA6n,26,,PT0388-단품박스(스탠다드)_화이트_000-15,,신시어리,,,Package Parts,
SSU000027,,PT0400-바스켓_리드_그레이,판매가능,정승윤,정보 최초 입력,Basket 패키지,BSKP,2023.5.30 4:56오후,2026.7.13 2:16오후,2023.5.30,2026.7.12,recjakRGIr1gILnRK,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recjakRGIr1gILnRK,27,정승윤,PT0400-바스켓_리드_그레이,,신시어리,,,Product Parts,
SSU000028,,PT0403-바스켓_리드_오트밀,판매가능,정승윤,정보 최초 입력,Basket 패키지,BSKP,2023.5.30 4:56오후,2026.7.13 2:08오후,2023.5.30,2026.7.12,recWWsWlmrVngVa9x,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recWWsWlmrVngVa9x,28,정승윤,PT0403-바스켓_리드_오트밀,,신시어리,,,Product Parts,
SSU000029,,PT0404-바스켓_바디_오트밀,판매가능,정승윤,정보 최초 입력,Basket 패키지,BSKP,2023.5.30 4:56오후,2026.7.13 2:16오후,2023.5.30,2026.7.12,rec1Q1WMcg0IQSbbn,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec1Q1WMcg0IQSbbn,29,정승윤,PT0404-바스켓_바디_오트밀,,신시어리,,,Product Parts,
SSU000030,,PT0407-바스켓_바디_그레이,판매가능,정승윤,정보 최초 입력,Basket 패키지,BSKP,2023.5.30 4:56오후,2026.7.13 2:18오후,2023.5.30,2026.7.12,recIDT5CkOEBju2gv,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recIDT5CkOEBju2gv,30,정승윤,PT0407-바스켓_바디_그레이,,신시어리,,,Product Parts,
SSU000031,,,판매가능,안다정,정보 최초 입력,,,2023.5.30 4:56오후,2025.12.9 3:03오후,2023.5.30,2025.12.8,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,31,안다정,,,,,,,
SSU000032,,,판매가능,안다정,정보 최초 입력,,,2023.5.30 4:56오후,2025.12.9 3:07오후,2023.5.30,2025.12.8,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,32,안다정,,,,,,,
SSU000033,,,판매가능,안다정,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,reclku4DV33JJ0jR8,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,33,안다정,,,,,,,
SSU000034,,,판매가능,안다정,정보 최초 입력,,,2023.5.30 4:56오후,2025.12.9 3:06오후,2023.5.30,2025.12.8,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,34,안다정,,,,,,,
SSU000035,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2024.9.27 3:01오후,2023.5.30,2024.9.26,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,35,,,,,,,,
SSU000036,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2025.1.24 3:10오후,2023.5.30,2025.1.23,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,36,,,,,,,,
SSU000037,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2024.6.18 3:06오후,2023.5.30,2024.6.17,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,37,,,,,,,,
SSU000038,,PT0453-단품박스(스탠다드)_웜그레이_000-6,판매가능,,정보 최초 입력,"MiiR 텀블러, Carry me 와인잔, 리틀빅 리유저블컵, 슈가케인 텀블러","MIRT, CMWG, LTBR, SGCN",2023.5.30 4:56오후,,2023.5.30,2026.9.3,rec45lvIQr6f7ZcLD,rec45lvIQr6f7ZcLD,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec45lvIQr6f7ZcLD,38,,PT0453-단품박스(스탠다드)_웜그레이_000-6,,신시어리,,,Package Parts,
SSU000039,,PT0475-페이퍼G형박스(T)_그레이_100-2,판매가능,,정보 최초 입력,ECO 페이퍼박스,ECPB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recRoLyJZL4AFl4Md,recRoLyJZL4AFl4Md,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recRoLyJZL4AFl4Md,39,,PT0475-페이퍼G형박스(T)_그레이_100-2,,신시어리,,,Package Parts,
SSU000040,,PT0477-페이퍼G형박스(S)_그레이_100-1,판매가능,,정보 최초 입력,ECO 페이퍼박스,ECPB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recj5QtCo25OOjiSH,recj5QtCo25OOjiSH,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recj5QtCo25OOjiSH,40,,PT0477-페이퍼G형박스(S)_그레이_100-1,,신시어리,,,Package Parts,
SSU000041,,PT0484-콘폼,판매가능,문경선,정보 최초 입력,"ECO 페이퍼박스, Carry me 와인잔, 슈가케인 텀블러, Advent 굿즈박스, Motion 스탠다드 박스, Motion 커스텀 박스","ECPB, CMWG, SGCN, AVBX, MBST, MBCT",2023.5.30 4:56오후,,2023.5.30,2026.9.3,recTPjvklTIU911qt,recTPjvklTIU911qt,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recTPjvklTIU911qt,41,문경선,PT0484-콘폼,,신시어리,,,Package Parts,
SSU000042,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2025.5.19 9:58오후,2023.5.30,2025.5.18,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,42,,,,,,,,
SSU000043,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2025.5.19 9:58오후,2023.5.30,2025.5.18,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,43,,,,,,,,
SSU000044,,PT0493-단품박스(스탠다드)_웜그레이_000-19,판매가능,,정보 최초 입력,"스탠리 데일리 텀블러, MiiR 텀블러, 스테이 텀블러","STLD, MIRT, TMBS",2023.5.30 4:56오후,,2023.5.30,2026.9.3,recywDvtIPVj6wv3F,recywDvtIPVj6wv3F,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recywDvtIPVj6wv3F,44,,PT0493-단품박스(스탠다드)_웜그레이_000-19,,신시어리,,,Package Parts,
SSU000045,,PT0495-안전봉투_200-4,판매가능,정승윤,정보 최초 입력,KeepSafe 안전봉투,SFPP,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recXYI572ztEFbmPr,recXYI572ztEFbmPr,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recXYI572ztEFbmPr,45,정승윤,PT0495-안전봉투_200-4,,협력사,,,Package Parts,
