task_id,movement_산출이동,총 지출액 (VAT 포함),발주번호,(기능)스탬핑_수주처,과업지시상태,비스포크여부,긴급여부,project,과업담당자_이름,발주담당자,과업지시일자,미입하 발생이력_movement,미입하 발생이력_movement_check,FA날짜 (from order),재제작/추가제작,산출물,산출물_옵션,발주지시수량,수주처,주문수량_추가,고객주문수량,과업_생성일,order,이슈체크(Order 이슈 관리용) (from order),이슈체크(Order 이슈 관리용)_check,공급가액 단가,배송비,배송비(부가세포함),배송비 부가세액,부가세액,파츠유형,sync_itemdb,R2) 판매가_조정_DMK,R) 판매가(최종),material,취득원가,공급가액,지출결의,결제일(from 지출결의),movement_투입이동,미입하 발생이력 확인 시점,세금계산서작성월 (from 지출결의)
PNA30246_리멤버탁상시계_A1,MM00094626,0,PO043337,,발주진행완료,,-,PNA30246-삼성바이오로직스,정승윤,정승윤,2024.12.31 6:22오후,0 checked out of 1,,,,,,354,주식회사 코스맥스코리아,,,2024.11.28,,,,0,0,,0,0,,,,\0,,0,0,,,"MM00094624,MM00098505",,
PNA28750_Carryme와인잔(2입)_P1,MM00104598,888470,PO045140,,발주진행완료,,-,PNA28750-전남영상위원회,김민지,김민지,2024.12.31 11:33오전,0 checked out of 1,,2024.12.30,,,,410,보소코리아,,202,2024.12.31,OOA197460,0 checked out of 1,,1970,0,,0,80770,Product Parts,BSPK_PT4605-비스포크_산출물(상품),,\0,"""PT4606-비스포크_옵션(ver2), PT4605-비스포크_산출물(상품) || PNA28750_Carryme와인잔(2입) || 에이원지식산업센터""",807700,807700,24.12.30-25.1.3_보소코리아,2025.1.2,,,24년 12월
PNA30354_Simple슬라이드지퍼백(S)_P1,MM00104503,396000,PO045128,,발주진행완료,비스포크,-,PNA30354-경상북도정신건강복지센터,김민지,김민지,2024.12.31 10:29오전,0 checked out of 1,,2024.12.23,,,,2000,서울디지털인쇄협동조합,,2000,2024.12.30,OOA195981,0 checked out of 1,,180,0,,0,36000,Product Parts,BSPK_PT4605-비스포크_산출물(상품),,\1680000,PT4605-비스포크_산출물(상품) || PNA30354_Simple슬라이드지퍼백(S) || 에이원지식산업센터,360000,360000,25.1.6-1.10(2)_서울디지털인쇄협동조합,2025.1.10,,,25년 1월
PNA31034_리멤버탁상시계_A1,MM00103740,440440,PO044979,,발주진행완료,,-,PNA31034-올리브영,정승윤,정승윤,2024.12.27 3:53오후,0 checked out of 1,,2024.12.24,,,리멤버탁상시계,81,주식회사 코스맥스코리아,,80,2024.12.27,OOA196796,0 checked out of 1,,4900,3500,3850,350,39690,Product Parts,RMBT_PT3900-리멤버탁상시계,,\562400,,400400,396900,25.1.6-1.10_주식회사 코스맥스코리아,2025.1.9,,,24년 12월
유어백 판비 지출용_task,,330000,PO044641,,발주진행완료,,,,김민지,김민지,2024.12.26 4:15오후,,,,,,,6,유어백,,,2024.12.20,,,,50000,0,,0,30000,,,,\0,,300000,300000,24.12.30-25.1.3_유어백,2024.12.31,,,24년 12월
PNA29259_Tailored스트랩박스_P1,MM00103180,822800,PO044849,,발주진행완료,비스포크,-,PNA29259-애경산업,이난영,이난영,2024.12.26 10:35오전,1 checked out of 1,yes,2024.12.20,,,,220,주식회사 모아패키지,,200,2024.12.24,OOA195884,0 checked out of 1,,3400,0,,0,74800,Product Parts,BSPK_PT4605-비스포크_산출물(상품),,\1200000,PT4605-비스포크_산출물(상품) || PNA29259_Tailored스트랩박스 || 에이원지식산업센터,748000,748000,25.2.10-2.14_주식회사 모아패키지,2025.2.13,,2025.1.23 9:16오전,25년 1월
PNA29402_리멤버탁상시계_A1,MM00102578,684530,PO044743,,발주진행완료,,-,PNA29402-삼성전자,정승윤,정승윤,2024.12.23 3:18오후,0 checked out of 1,,2024.12.16,,,리멤버탁상시계,127,주식회사 코스맥스코리아,,125,2024.12.23,OOA194369,0 checked out of 1,,4900,0,,0,62230,Product Parts,RMBT_PT3900-리멤버탁상시계,,\800000,PT3900-리멤버탁상시계 || 주식회사 위즈프로(구.호언),622300,622300,25.1.6-1.10_주식회사 코스맥스코리아,2025.1.9,,,24년 12월
PNA30695_비주얼PD고속충전기65W_A1,MM00101759,56100,PO044564,,발주진행완료,,-,PNA30695-고려대학교크림슨창업지원단,안다정,안다정,2024.12.19 6:38오후,0 checked out of 1,,"2024.12.16, 2024.12.16",,,"비주얼PD고속충전기65W, UV",51,주식회사 위즈프로(구.호언),,50,2024.12.19,"OOA194541,OOA194542",0 checked out of 2,,1000,0,,0,5100,"Product Parts, Printing Parts","VSPD_PT4457-비주얼PD고속충전기65W_화이트,VSPD_PT4458-UV_전면_호언[비주얼PD고속충전기]",,\830000,PT4457-비주얼PD고속충전기65W_화이트 || 주식회사 위즈프로(구.호언),51000,51000,25.1.6-1.10_주식회사 위즈프로(구.호언),2025.1.9,MM00101756,,24년 12월
장경 11월 지출,,771100,PO044199,,발주진행완료,,,,김민지,김민지,2024.12.13 2:12오후,,,,,,,90,주식회사 장경,,,2024.12.12,,,,7400,35000,38500,3500,66600,,,,\0,,701000,666000,24.12.16-12.20_주식회사 장경,2024.12.16,,,24년 11월
PNA30649_포시즌블랭킷(일반담요)[1]_P1,MM00098466,1143030,PO044075,,발주진행완료,비스포크,-,PNA30649-서울대학교발전재단,안다정,안다정,2024.12.11 4:37오후,0 checked out of 1,,2024.12.6,,,,253,제이엔에스,,250,2024.12.9,OOA192544,0 checked out of 1,,4107,0,,0,103912,Product Parts,BSPK_PT4605-비스포크_산출물(상품),,\650000,PT4605-비스포크_산출물(상품) || PNA30649_포시즌블랭킷(일반담요)[1] || 에이원지식산업센터,1039118,1039118,24.12.16-12.20_제이엔에스,2024.12.19,,,24년 12월
