협력사 이름,협력사 Status,발주담당자,협력사 결제조건,하도급계약 대상여부,업태,인쇄,1. 제조유형,2. Goods Category_1.goods
(주) 모나미,거래중,김민정,정기(월),비대상,"사무용품, UV평판인쇄",UV인쇄,턴키제작,Stationery
(주)제이컴정보통신,거래종료,김민정,정기(월),비대상,테크,,단순구매,Tech
(주)주니어 빌리지,거래종료,김민정,건별,비대상,"생활용품, 패브릭",,단순구매,"Bag&pouch, Lifestyle"
(주)파워,거래중,김민정,건별,비대상,테크,,단순구매,Wine
"Anhui Highkey Import& Export Co., Ltd",거래중,김민정,건별,비대상,생활용품,,단순구매,Lifestyle
"Dongguan City Newway Stationery Co., Limited",거래중,김민정,건별,비대상,생활용품,,단순구매,Stationery
"Dongguan JinEn Electronics Co., Ltd",거래중,김민정,,비대상,테크,,단순구매,Tech
"Dongguan Wik Electronic Technology Co., Ltd.",거래중,김민정,건별,비대상,테크,,단순구매,Tech
"GUANGDONG JIADIANMEI DAILY-USE COMMODITY CO.,LTD",거래중,김민정,,비대상,생활용품,,단순구매,Lifestyle
"HEFEI WORLD BAG CO., LTD",거래중,김민정,,비대상,패브릭,,단순구매,Bag&pouch
"Protecting Your Electronics (PYE) Electronic Technology Co., Ltd",거래종료,김민정,건별,비대상,테크,,단순구매,Tech
"Shanghai Ansheng insulation Technology Co.,Ltd",거래중,김민정,,비대상,드링크웨어,,단순구매,Drinkware
"Shenzhen Xin Hong Yang Packaging Products Co., Ltd.",거래중,김민정,,비대상,생활용품,,단순구매,Lifestyle
Shenzhen Xinyixin Technology Co Ltd,거래중,김민정,건별,비대상,생활용품,,단순구매,Lifestyle
"Xiamen Healthpal Electronic Co,.Ltd",거래중,김민정,,비대상,테크,,단순구매,Tech
"XIAMEN HONGJIA INDUSTRY CO.,LTD",거래중,김민정,기타,비대상,생활용품,,단순구매,Lifestyle
"ZHEJIANG CHUANCHENG PACKAGING PRODUCTS CO.,LIMITED",거래중,김민정,건별,비대상,패키지,,단순구매,Lifestyle
감성코퍼레이션 주식회사,거래중,김민정,건별,비대상,테크,,단순구매,Tech
라온누리,거래중,김민정,정기(월),비대상,"스테인리스, 드링크웨어",,단순구매,Drinkware
비투비 커머스,거래중,김민정,건별,비대상,테크,,단순구매,Lifestyle
성우무역,거래중,김민정,건별,대상,"생활용품, 패브릭, 플라스틱 제조",,단순구매,"Lifestyle, Bag&pouch, Stationery, Kit Package"
주식회사 드리온,거래중,김민정,건별,비대상,테크,,단순구매,Tech
주식회사 에벤에셀기업,거래중,김민정,정기(월),비대상,"드링크웨어, 스테인리스",,단순구매,Drinkware
주식회사 유경,거래중,김민정,건별,비대상,플라스틱 제조,,단순구매,Lifestyle
주식회사 코스맥스코리아,거래중,김민정,건별,비대상,테크,,단순구매,Tech
주식회사 클라고,거래중,김민정,건별,비대상,테크,,단순구매,Tech
키멤버스,거래중,김민정,건별,비대상,패브릭,,단순구매,"Tech, Bag&pouch"
하이온,거래중,김민정,건별,비대상,테크,,단순구매,Tech
(주)상일씨앤씨,거래중,김민지,건별,대상,"사무용품, UV평판인쇄, 플라스틱 제조",UV인쇄,턴키제작,Lifestyle
(주)스타양행,거래중,김민지,건별,비대상,"생활용품, 실크인쇄, 플라스틱 제조",실크인쇄,턴키제작,Lifestyle
(주)승화파트너스,거래중,김민지,정기(격주),대상,패브릭,승화인쇄,턴키제작,"Fabric, Lifestyle, Fragrance, Bag&pouch, Apparel, Sports, Drinkware"
(주)아이아트텍스,거래중,김민지,건별,대상,패브릭,승화인쇄,턴키제작,Fabric
(주)우와,거래중,김민지,정기(월),대상,"디지털인쇄, 테크",디지털인쇄,턴키제작,Lifestyle
(주)이케이비전,거래중,김민지,건별,비대상,"생활용품, 플라스틱 제조",,단순구매,Lifestyle
(주)홍기씨앤디,거래중,김민지,건별,대상,칠도금,칠도금,턴키제작,Lifestyle
가온팩토리,거래종료,김민지,건별,비대상,"패브릭, 승화전사인쇄",승화인쇄,턴키제작,Tech
개미기획,거래중,김민지,정기(격주),대상,실크인쇄,실크인쇄,턴키제작,"Stationery, Tech, Drinkware, Bag&pouch, Apparel, Kit Package, Lifestyle, Fabric"
마르멜로,거래중,김민지,정기(월),대상,디지털인쇄,디지털인쇄,턴키제작,Lifestyle
마이 패스포트(Mai Passport),거래중,김민지,건별,대상,"패브릭, 실크인쇄",실크인쇄,턴키제작,Bag&pouch
빅스타,거래중,김민지,건별,대상,"패브릭, 승화전사인쇄",승화인쇄,턴키제작,Fabric
신명인쇄,거래중,김민지,정기(월),대상,실크인쇄,실크인쇄,외주용역,"Lifestyle, Tech, Drinkware, Wine, Stationery, Kit Package"
아이티에스글로벌(ITSGlobal),거래중,김민지,건별,대상,생활용품,,단순구매,Tech
어썸리(구. 비코어랩),거래중,김민지,건별,비대상,"테크, 실크인쇄",실크인쇄,턴키제작,Tech
엔엠텍코리아주식회사,거래중,김민지,정기(월),대상,"가죽가공, 공박인쇄, 색박인쇄","공박인쇄, 색박인쇄",턴키제작,"Stationery, Lifestyle"
와이이케이글래스주식회사,거래중,김민지,정기(월),대상,아크릴가공,UV인쇄,턴키제작,"Stationery, Lifestyle, Bag&pouch, Tech"
윈브릿지,거래중,김민지,정기(월),대상,드링크웨어,실크인쇄,턴키제작,Drinkware
유노타월 유노디자인,거래중,김민지,정기(월),대상,"패브릭, 승화전사인쇄, 자수인쇄","자수인쇄, 전사인쇄",턴키제작,Lifestyle
유어백,거래중,김민지,건별,대상,"패브릭, 실크인쇄",실크인쇄,턴키제작,Bag&pouch
유엘상사,거래중,김민지,정기(월),대상,"가죽가공, 공박인쇄, 색박인쇄","공박인쇄, 색박인쇄",턴키제작,"Bag&pouch, Stationery, Lifestyle, Tech, Drinkware"
인더보썸,거래중,김민지,건별,비대상,방향,,단순구매,Lifestyle
제이에이 코퍼레이션 (JA Corp.),거래중,김민지,기타,대상,"테크, 레이저인쇄",레이저인쇄,턴키제작,Tech
주식회사 디자인오엔,거래중,김민지,정기(월),대상,"옵셋인쇄, 가죽가공, 디지털인쇄, 공박인쇄, 색박인쇄",옵셋인쇄,외주용역,Stationery
주식회사 마이크래프트,거래중,김민지,정기(월),비대상,"패브릭, 실크인쇄",실크인쇄,턴키제작,Lifestyle
주식회사 세라노,거래중,김민지,정기(격주),대상,"패브릭, 승화전사인쇄",승화인쇄,턴키제작,Fabric
주식회사 알리오코리아,거래중,김민지,건별,비대상,"테크, 레이저인쇄, UV평판인쇄",레이저인쇄,턴키제작,Tech
주식회사 에이엠씨,거래중,김민지,건별,대상,옵셋인쇄,옵셋인쇄,외주용역,Stationery
주식회사 이루커머스,거래중,김민지,건별,대상,"가죽가공, 공박인쇄, 색박인쇄",공박인쇄,턴키제작,Tech
주식회사 케이디엠제이,거래중,김민지,건별,대상,"패브릭, 자수인쇄",자수인쇄,턴키제작,Apparel
주식회사 케이원랩(KWON LAB),거래중,김민지,정기(월),비대상,디지털인쇄,디지털인쇄,턴키제작,"Stationery, Lifestyle"
크루티,거래중,김민지,건별,대상,"패브릭, 자수인쇄, 나염인쇄","자수인쇄, 나염인쇄",턴키제작,Apparel
타우하이텍,거래중,김민지,정기(월),대상,레이저인쇄,레이저인쇄,외주용역,"Drinkware, Bag&pouch, Wine, Lifestyle, Fragrance, Tech"
톰스코리아 주식회사,거래중,김민지,정기(월),비대상,"패브릭, 자수인쇄, 디지털전사인쇄, 나염인쇄","자수인쇄, 나염인쇄",턴키제작,Apparel
투리빙,거래중,김민지,건별,비대상,"생활용품, 레이저인쇄",레이저인쇄,턴키제작,Lifestyle
하나 세라믹,거래중,김민지,정기(월),비대상,세라믹전사인쇄,세라믹전사인쇄,턴키제작,Drinkware
홍보요업,거래중,김민지,정기(월),대상,세라믹전사인쇄,세라믹전사인쇄,턴키제작,Drinkware
주식회사 미인골드,거래종료,이난영,,대상,칠도금,칠도금,턴키제작,Lifestyle
주식회사 프래그(PRAG Corp.),거래중,이난영,정기(월),대상,"생활용품, 플라스틱 제조",UV인쇄,턴키제작,Lifestyle
(주)데코컴퍼니,거래중,김하은,건별,비대상,테크,,단순구매,Tech
(주)명성,거래중,김하은,정기(월),비대상,"테크, 실크인쇄",실크인쇄,턴키제작,Tech
(주)에스씨인터내셔널,거래중,김하은,건별,대상,패브릭,,단순구매,Bag&pouch
(주)영인기프트,거래중,김하은,건별,비대상,사무용품,,단순구매,Stationery
(주)영일패키지,거래중,김하은,건별,비대상,"패키지, 펠트가공",,단순구매,"Kit Package, Fabric, Lifestyle, Bag&pouch, Apparel"
(주)유닉스글로벌,거래중,김하은,건별,비대상,"생활용품, 패브릭",,단순구매,Lifestyle
(주)피알판촉,거래중,김하은,건별,비대상,사무용품,,단순구매,Stationery
(주)효성에스피,거래중,김하은,건별,비대상,사무용품,,단순구매,Stationery
RD상사(세나토코리아),거래중,김하은,건별,비대상,"사무용품, 친환경소재",,단순구매,Stationery
더패키징,거래중,김하은,건별,비대상,패키지,,단순구매,"Lifestyle, Tech"
도매박스&뉴제이스포츠,거래중,김하은,건별,비대상,"생활용품, 플라스틱 제조",,단순구매,Lifestyle
리본마루,거래중,김하은,건별,비대상,패브릭,,단순구매,Fabric
민영종합상사,거래중,김하은,건별,비대상,패키지,,단순구매,"Fragrance, Lifestyle"
보소코리아,거래중,김하은,건별,비대상,"드링크웨어, 플라스틱 제조",,단순구매,Wine
블록가든,거래중,김하은,건별,비대상,피규어,,단순구매,Brick
성현산업(주),거래중,김하은,건별,비대상,"패키지, 비닐",,단순구매,Kit Package
세종기프트 주식회사,거래중,김하은,건별,비대상,"패키지, 펠트가공, 지류",,단순구매,"Kit Package, Awards & Recognition, Lifestyle"
시티핸즈캄퍼니,거래중,김하은,건별,대상,"드링크웨어, 친환경소재",,단순구매,Drinkware
에이피피몰,거래중,김하은,건별,비대상,"패키지, 지류",,단순구매,Kit Package
엘바 (ELVA),거래중,김하은,정기(월),비대상,사무용품,,단순구매,Stationery
유성(구.유성테프),거래중,김하은,건별,비대상,패브릭,,단순구매,Stationery
주식회사 디비더블유디(구.디자인방위대),거래중,김하은,건별,대상,사무용품,,단순구매,Stationery
주식회사 라이클,거래중,김하은,정기(월),비대상,생활용품,,단순구매,Lifestyle
주식회사 블루윈,거래중,김하은,건별,비대상,"생활용품, 테크",,단순구매,Tech
주식회사 센트온,거래중,김하은,건별,대상,방향,,단순구매,Fragrance
주식회사 아조아(AJOAH),거래중,김하은,건별,대상,"드링크웨어, 플라스틱 제조",,단순구매,Drinkware
주식회사 에코에이스,거래중,김하은,건별,비대상,"드링크웨어, 플라스틱 제조",,단순구매,Drinkware
주식회사 연준프로비전,거래중,김하은,건별,비대상,생활용품,,단순구매,Lifestyle
주식회사 오보틀,거래종료,김하은,건별,비대상,"드링크웨어, 플라스틱 제조",,단순구매,Drinkware
주식회사 이우피앤씨,거래종료,김하은,건별,비대상,생활용품,,단순구매,Kit Package
주식회사 큐엘앤컴퍼니,거래중,김하은,건별,비대상,"테크, UV평판인쇄",,단순구매,Tech
평화산업,거래중,김하은,건별,비대상,"패키지, 플라스틱 제조",,단순구매,Tech
